S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
306.95763743,0.4722425191230769,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.25163099,4.4000001
306.95763743,0.767394093575,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.389213,0.25000000499999997
306.95763743,0.5338393694434782,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.27911401,2.1499999499999998
306.95763743,0.491132219888,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.259745,3.8000000500000004
306.53202985999997,0.4715877382461538,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.24901,4.29999995
306.53202985999997,0.43790289979999997,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.23609599,2.25
306.53202985999997,0.49045124777599997,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.25862199,5.70000005
306.53202985999997,0.4715877382461538,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.251019,4.95000005
309.27483420000004,0.4758074372307693,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.24648701,4.54999995
309.27483420000004,0.4418211917142858,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.233503,2.3999999499999998
309.27483420000004,0.4123664456000001,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.22304399,1.1
307.33595526999994,0.4097812736933333,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.205266,0.25000000499999997
307.33595526999994,0.45531252632592584,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.220451,1.75
307.33595526999994,0.4728245465692307,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.24328101,4.25
307.33595526999994,0.43905136467142847,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.22833399,2.1499999499999998
307.33595526999994,0.4097812736933333,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.218558,0.94999999
307.33595526999994,0.5587926459454544,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.28435299,0.55000001
307.33595526999994,0.4728245465692307,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.229932,3.1499999499999998
307.33595526999994,0.5344973135130434,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.268639,0.875
307.33595526999994,0.4728245465692307,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.242652,4.70000005
304.49857147,0.5074976191166667,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.252774,5.70000005
304.49857147,0.46845934072307693,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.22724301,2.54999995
304.49857147,0.43499795924285717,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.20879,0.80000001
304.49857147,0.40599809529333336,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.204715,0.20000000499999998
304.49857147,0.3806232143375,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.190946,0.0250000005
304.49857147,0.46845934072307693,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.240098,3.9
304.49857147,0.43499795924285717,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.224556,1.9
304.49857147,0.40599809529333336,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.21454699,0.80000001
304.49857147,0.45110899477037036,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.231667,2.7749999499999998
304.49857147,0.5074976191166667,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.2493,1.45
304.49857147,0.487197714352,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.237341,2.25
304.49857147,0.46845934072307693,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.23950399,4.9000001
304.49857147,0.3383317460777778,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.173585,26.0500005
304.49857147,0.5295627329913043,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.26708999,2.04999995
304.49857147,0.487197714352,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.24604701,3.6999999499999996
306.01184283,0.4707874505076923,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.174134,1.2
306.01184283,0.45335087826666665,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.160546,0.32499999999999996
306.01184283,0.51001973805,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.246537,6.79999995
306.01184283,0.4707874505076923,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.229239,3.8000000500000004
306.01184283,0.43715977547142854,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.213595,1.775
306.01184283,0.40801579043999997,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.203684,0.69999999
306.01184283,0.38251480353749995,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.199645,0.25000000499999997
