S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
507.68,2.5384,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.81294799,11.85
507.68,1.6922666666666666,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.46226501,2.75
507.68,1.4505142857142856,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.45155501,0.625
507.68,1.3538133333333333,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.454173,0.25000000499999997
507.68,1.846109090909091,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.50509,4.70000005
507.68,1.5620923076923077,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.458994,1.425
507.68,1.6922666666666666,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.45475599,0.900000005
507.68,1.4505142857142856,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.451929,3.8000000500000004
507.68,1.3538133333333333,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.43356699,5.89999985
507.68,1.846109090909091,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.46521601,0.29999999499999996
507.68,1.5620923076923077,0.045354936428571434,32,0,0.0,0.0,0.0,0.0,0.0,0.43991801,2.0249999499999998
507.68,1.6922666666666666,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.32058099,5.5999999
507.68,1.4505142857142856,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.31428799,3.3000000500000004
507.68,1.2692,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.304914,1.775
507.68,1.01536,0.04771222131868132,368,1,0.0,0.0,0.0,0.0,0.0,0.29653901,0.45000000500000004
507.68,2.5384,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.39163801,0.45000000500000004
507.68,1.6922666666666666,0.04771222131868132,368,0,0.0,0.0,0.0,0.0,0.0,0.331159,2.7250000500000002
501.92,1.6730666666666667,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.44936699,2.4499999499999996
501.92,1.434057142857143,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.43518201,0.47500000499999995
501.92,1.2548000000000001,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.51503599,0.1250000005
501.92,1.3384533333333333,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.45560899,0.20000000499999998
501.92,1.5443692307692307,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.43977401,1.175
501.92,2.00768,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.50183702,0.10000000549999999
501.92,1.6730666666666667,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.43617001,0.925000005
501.92,1.3384533333333333,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.42486501,6.20000005
501.92,1.8251636363636363,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.461813,0.32500000500000004
501.92,1.5443692307692307,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.43485099,2.175
501.92,1.434057142857143,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.31958401,3.20000005
501.92,1.2548000000000001,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.31023499,1.725
501.92,2.5096000000000003,0.04771386703296703,367,0,0.0,0.0,0.0,0.0,0.0,0.38668299,0.44999999999999996
521.28,1.7375999999999998,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.450589,3.1999999499999996
