S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
209.16,2.0916,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.512707,7.9250001999999995
209.16,1.3944,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.44254801,4.25
209.16,1.0458,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.40879101,1.9449999500000001
209.16,0.8366399999999999,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.38959301,0.78999999
209.16,0.5976,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.381778,0.13
209.16,1.1952,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.424992,2.94000005
209.16,0.9296,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.398063,1.255
209.16,4.1832,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.61815101,0.044999999
209.16,2.0916,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.50473702,0.44500001
209.16,1.3944,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.445366,1.7850000000000001
209.16,2.7888,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.54923701,0.16500000999999997
209.16,1.6732799999999999,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.47073001,0.9600000099999999
209.16,1.0458,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.43551201,0.17500000500000001
209.16,1.162,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.440056,0.66
209.16,0.9093913043478261,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.47344401,0.0249999995
209.16,1.1008421052631578,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.434962,0.350000005
209.16,1.494,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.50744301,3.5
209.16,0.996,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.44036099,0.085
209.16,1.30725,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.462717,1.79499995
209.16,1.2303529411764706,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.44689199,1.135
209.16,1.3944,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.48688599,0.18
209.16,1.0458,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.42992401,2.745
209.16,1.162,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.44148701,1.24
209.16,1.1008421052631578,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.43377399,1.92500005
209.16,1.608923076923077,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.54983002,0.034999999000000004
209.16,1.494,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.50610399,0.07499999900000001
209.16,0.996,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.42535299,3.65
209.16,1.30725,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.46464899,0.375
209.16,1.2303529411764706,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.45087299,0.72
208.26,1.3883999999999999,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.44702899,4.2249999
208.26,1.0413,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.41302001,1.93999995
208.26,0.83304,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.395877,0.805000005
208.26,0.6941999999999999,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.38703999,0.32000000500000003
208.26,0.5950285714285714,0.005224085604395604,367,1,0.0,0.0,0.0,0.0,0.0,0.38419399,0.13
208.26,1.0413,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.411971,4.5
208.26,1.1900571428571427,0.005224085604395604,367,0,0.0,0.0,0.0,0.0,0.0,0.431245,3.0149999999999997
208.26,1.3883999999999999,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.48411199,2.53499995
208.26,1.0413,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.43384701,0.155000005
208.26,1.157,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.435541,0.61000001
208.26,1.0961052631578947,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.43411499,0.32000000500000003
208.26,1.4875714285714285,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,-99.989998,3.35
208.26,1.301625,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.46329999,1.7349999999999999
208.26,1.2250588235294118,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.44568199,1.08000005
208.26,1.3883999999999999,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.486801,0.18
208.26,1.157,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.43470001,1.25
208.26,1.0961052631578947,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.43310699,1.96000005
208.26,1.4875714285714285,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.51556897,0.080000002
208.26,1.301625,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.45902601,0.37000000499999997
208.26,1.2250588235294118,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.442256,0.715000005
204.60000000000002,1.364,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.51433998,2.29999995
204.60000000000002,1.0230000000000001,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.46623299,0.14000000499999998
204.60000000000002,1.1366666666666667,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.46108899,0.5249999750000001
204.60000000000002,1.076842105263158,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.46374401,0.28
204.60000000000002,1.4614285714285715,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.61019897,3.2249999
204.60000000000002,0.9742857142857144,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.46686301,0.0649999995
204.60000000000002,1.27875,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.491108,1.54499995
204.60000000000002,1.203529411764706,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.47533301,0.94999999
204.60000000000002,0.93,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.49605301,0.04
204.60000000000002,1.364,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.50608999,0.24
204.60000000000002,1.1366666666666667,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.4612,1.475
204.60000000000002,1.076842105263158,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.457167,2.2199999999999998
204.60000000000002,1.5738461538461541,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.56061,0.045
204.60000000000002,1.27875,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.488103,0.489999995
204.60000000000002,1.203529411764706,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.47020799,0.88999999
204.60000000000002,1.364,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.45752999,4.07500005
204.60000000000002,1.0230000000000001,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.42487299,1.885
204.60000000000002,0.8184000000000001,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.40585101,0.784999995
204.60000000000002,0.682,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.39622101,0.314999995
204.60000000000002,0.5845714285714286,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.39317101,0.13
204.60000000000002,2.0460000000000003,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.51532698,0.504999995
204.60000000000002,1.1691428571428573,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.44037801,3.20000005
197.52,1.3168,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.53788501,1.855
197.52,0.9876,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.47649899,0.080000002
197.52,1.0973333333333335,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.47963199,0.355
197.52,1.0395789473684212,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.47775,0.17500000500000001
197.52,1.410857142857143,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.577739,2.67
197.52,1.2345000000000002,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.50460702,1.17000005
197.52,1.1618823529411766,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.485993,0.67000002
197.52,1.3168,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.50861901,0.350000005
197.52,1.0973333333333335,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.455522,1.855
197.52,1.0395789473684212,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.457654,2.69000005
197.52,1.5193846153846156,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.55416101,0.0649999995
197.52,1.410857142857143,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.535218,0.165
197.52,1.2345000000000002,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.489391,0.68000001
197.52,1.1618823529411766,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.46568501,1.17000005
197.52,1.3168,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.462414,3.70000005
197.52,0.9876,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.429039,1.6600000499999998
197.52,0.79008,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.41148999,0.68000001
197.52,1.58016,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.47594401,5.1750002
197.52,1.1286857142857143,0.005043505054945056,365,1,0.0,0.0,0.0,0.0,0.0,0.44508299,2.52999995
197.52,1.9752,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.51924998,0.575000015
197.52,1.3168,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.46100801,2.1600001
197.52,0.9876,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.4271,5.10000015
197.52,1.58016,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.49006101,1.22
197.52,1.1286857142857143,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.439064,3.45000005
