S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
1851.360548,2.3827034079794083,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.26082301,2.20000005
1851.360548,2.308429610972569,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.247632,1.125
1851.360548,2.238646370012092,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.235,0.47500001000000003
1851.360548,2.4619156223404257,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.27506599,1.525
1851.360548,2.3827034079794083,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.26099399,2.54999995
1837.034828,2.364266187902188,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.25906101,1.85
1837.034828,2.2905671172069826,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.246935,0.900000005
1837.034828,2.1561441643192487,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.238965,0.15000000000000002
1837.034828,2.4428654627659574,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.26721701,1.65
1837.034828,2.364266187902188,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.247357,2.7250000500000002
1852.7931199999998,2.38454712998713,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.258158,2.125
1852.7931199999998,2.310215860349127,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.24442901,1.05
1852.7931199999998,2.240378621523579,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.232458,0.42499999499999996
1852.7931199999998,2.463820638297872,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.27724499,1.45
1852.7931199999998,2.310215860349127,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.241227,3.85
1833.453398,2.286101493765586,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.257893,0.875
1833.453398,2.216993226118501,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.25656101,0.39999998999999997
1833.453398,2.6117569772079774,0.016642117857142858,28,0,0.0,0.0,0.0,0.0,0.0,0.331956,0.625
1833.453398,2.52194415130674,0.016642117857142858,28,0,0.0,0.0,0.0,0.0,0.0,0.306115,1.05
1833.453398,2.4381029228723405,0.016642117857142858,28,0,0.0,0.0,0.0,0.0,0.0,0.28835601,1.8
1794.2475495,2.3091989054054056,0.01672419,92,1,0.0,0.0,0.0,0.0,0.0,0.228211,2.3000000500000004
1794.2475495,2.385967486037234,0.01672419,92,0,0.0,0.0,0.0,0.0,0.0,0.23079,3.6500001
1792.089561,2.234525637157107,0.016702730000000002,91,1,0.0,0.0,0.0,0.0,0.0,0.21588799,1.325
1781.539395,2.22692424375,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.204742,0.25000000499999997
