S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
165.6258251,-0.327939133698,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,-99.989998,2.35
169.9598,0.8093323809523809,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.229233,0.155000005
169.9598,1.1330653333333334,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,5.0
169.9598,0.849799,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.243716,0.5099999900000001
169.9598,1.06224875,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,-99.989998,4.0000001
169.9598,0.9997635294117647,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.35990101,3.025
169.9598,0.9442211111111111,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.26624501,2.0300000000000002
169.9598,0.8945252631578947,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.251966,1.15
169.9598,0.8093323809523809,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.22698,1.32499995
169.9598,1.1330653333333334,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.449431,0.0149999999
169.9598,0.849799,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.234947,0.644999985
169.9598,1.06224875,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.38883799,0.0249999995
169.9598,0.9997635294117647,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.33097199,0.045
169.9598,0.9442211111111111,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.28049499,0.095000002
169.9598,0.8945252631578947,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.25368699,0.260000005
169.9598,1.699598,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,-99.989998,9.950000200000002
169.9598,1.1330653333333334,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.301139,5.14999985
169.9598,0.849799,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.247344,1.685
169.9598,0.6798392,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.221368,0.30499999
169.9598,0.5665326666666667,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.218453,0.045
169.9598,1.3596784,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,-99.989998,7.4749999
169.9598,0.9711988571428571,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.271952,3.1750000500000004
169.9598,0.7553768888888889,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.229525,0.7549999949999999
169.9598,1.1330653333333334,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.30891201,0.605000015
169.9598,0.849799,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.248262,2.285
169.9598,0.6798392,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.214022,5.89999985
169.9598,1.3596784,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.36005199,0.30499999
169.9598,0.9711988571428571,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.27285001,1.21
169.9598,0.7553768888888889,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.229399,3.875
169.9598,-0.84130101,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,-99.989998,32.575001
169.9598,-0.673040808,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,-99.989998,27.625
169.9598,-0.74782312,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,-99.989998,30.075
169.9598,-0.56086734,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,-99.989998,0.0149999999
169.4499206,0.8069043838095239,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.23184399,0.14000000499999998
169.4499206,0.8472496030000001,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.23459201,0.45000000500000004
