S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
680.8495014000001,0.34042475070000006,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.272921,7.1500001
680.8495014000001,0.3242140482857143,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.25411999,2.7249999
680.8495014000001,0.30947704609090915,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.2401,0.724999995
680.8495014000001,0.3782497230000001,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.32816699,1.075
680.8495014000001,0.3680267575135136,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.30998799,1.625
680.8495014000001,0.35834184284210535,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.295342,2.5
680.8495014000001,0.34042475070000006,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.26880699,5.5999999
669.6957679200001,0.3189027466285715,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.25757501,1.85
669.6957679200001,0.3044071672363637,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.249576,0.474999995
669.6957679200001,0.3524714568,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.28635299,3.1
669.6957679200001,0.33484788396000004,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.26181599,6.95000005
680.04077148,0.34002038574,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.27833301,6.95000005
680.04077148,0.3238289388,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.26073101,2.625
680.04077148,0.3091094415818182,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.25031301,0.724999995
680.04077148,0.3675896062054054,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.31088799,1.525
680.04077148,0.35791619551578946,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.29541299,2.375
668.14570224,0.33407285112,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.27649501,4.95000005
668.14570224,0.3181646201142857,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.260719,1.625
668.14570224,0.3037025919272727,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.25050399,0.375
668.14570224,0.3611598390486486,0.016642117857142858,28,0,0.0,0.0,0.0,0.0,0.0,0.31935999,2.25
668.14570224,0.35165563275789474,0.016642117857142858,28,0,0.0,0.0,0.0,0.0,0.0,0.30552599,3.45000005
723.83678658,0.3446841840857143,0.016737792857142858,93,1,0.0,0.0,0.0,0.0,0.0,0.265349,13.65
723.83678658,0.32901672117272723,0.016737792857142858,93,1,0.0,0.0,0.0,0.0,0.0,0.25187799,8.4000001
720.85900914,0.32766318597272726,0.01672419,92,1,0.0,0.0,0.0,0.0,0.0,0.25352001,8.0
716.83224192,0.34134868662857143,0.016702730000000002,91,1,0.0,0.0,0.0,0.0,0.0,0.26131299,12.05
712.5686060400001,0.3393183838285715,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.249152,6.5
712.5686060400001,0.3238948209272728,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.22926299,2.2750001
712.5686060400001,0.3393183838285715,0.01668964785714286,31,0,0.0,0.0,0.0,0.0,0.0,0.251192,5.75
712.5686060400001,0.3238948209272728,0.016019679285714284,185,1,0.0,0.0,0.0,0.0,0.0,0.257505,11.55
712.5686060400001,0.49142662485517247,0.016019679285714284,185,0,0.0,0.0,0.0,0.0,0.0,0.353291,1.325
716.62921164,0.3412520055428571,0.016595747142857144,30,1,0.0,0.0,0.0,0.0,0.0,0.25638199,7.20000005
716.62921164,0.32574055074545455,0.016595747142857144,30,1,0.0,0.0,0.0,0.0,0.0,0.230653,2.5500000500000004
716.62921164,0.35831460582,0.016595747142857144,30,0,0.0,0.0,0.0,0.0,0.0,0.27198699,2.125
716.62921164,0.3412520055428571,0.016595747142857144,30,0,0.0,0.0,0.0,0.0,0.0,0.241354,4.9000001
728.47264464,0.3468917355428571,0.016471465,29,1,0.0,0.0,0.0,0.0,0.0,0.26535699,9.5
728.47264464,0.33112392938181817,0.016471465,29,1,0.0,0.0,0.0,0.0,0.0,0.23928,3.9
728.47264464,0.3167272368,0.016471465,29,1,0.0,0.0,0.0,0.0,0.0,0.223261,1.1
728.47264464,0.36423632231999997,0.016471465,29,0,0.0,0.0,0.0,0.0,0.0,0.289812,1.65
728.47264464,0.3468917355428571,0.016471465,29,0,0.0,0.0,0.0,0.0,0.0,0.256255,3.75
728.47264464,0.291389057856,0.015935287857142856,183,1,0.0,0.0,0.0,0.0,0.0,0.23812,4.0500001
728.2019376,0.3467628274285714,0.01642610214285714,28,1,0.0,0.0,0.0,0.0,0.0,0.29042199,9.5500002
728.2019376,0.3310008807272727,0.01642610214285714,28,1,0.0,0.0,0.0,0.0,0.0,0.26782301,4.1999999500000005
728.2019376,0.3166095380869565,0.01642610214285714,28,1,0.0,0.0,0.0,0.0,0.0,0.24484099,1.25
728.2019376,0.3832641776842105,0.01642610214285714,28,0,0.0,0.0,0.0,0.0,0.0,0.36223701,1.07499999
