S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
110.75,0.10857843137254902,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.30951399,9.6499998
110.75,0.10350467289719627,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.314845,6.04999995
110.75,0.1025462962962963,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.301346,5.2750001
110.75,0.10160550458715596,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.297685,4.64999985
110.75,0.10068181818181818,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.29883599,4.125
110.75,0.09977477477477477,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.29247299,3.5500000500000004
110.75,0.09888392857142857,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.28549001,3.01
110.75,0.09800884955752212,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.287081,2.62
110.75,0.09714912280701754,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.286048,2.24
110.75,0.09630434782608696,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.28099099,1.855
110.75,0.09547413793103449,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.286699,1.63
110.75,0.0930672268907563,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.27957699,0.9
110.75,0.09229166666666666,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.257999,0.58
110.75,0.11075,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.347271,0.78
110.75,0.10965346534653465,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.351044,0.98
110.75,0.10857843137254902,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.325845,0.9749999949999999
110.75,0.10649038461538461,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.327582,1.445
110.75,0.10547619047619047,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.314473,1.5899999999999999
110.75,0.1044811320754717,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.31074801,1.855
110.75,0.10350467289719627,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.30175599,2.0949999999999998
110.75,0.1025462962962963,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.29823899,2.42999995
110.75,0.10160550458715596,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.29185301,2.77
110.75,0.10068181818181818,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.28710699,3.1699999500000002
110.75,0.09977477477477477,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.289336,3.6999999499999996
108.76,0.10358095238095238,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.31401899,5.9749999
108.76,0.10070370370370371,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.30353501,4.1000001500000005
108.76,0.09977981651376147,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.29729,3.5249999499999998
108.76,0.09887272727272728,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.299945,3.1
108.76,0.09798198198198199,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.29135799,2.58500005
108.76,0.09710714285714286,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.30000201,2.31500005
108.76,0.09624778761061947,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.290252,1.875
108.76,0.09540350877192982,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.29639301,1.65
108.76,0.09457391304347827,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.287462,1.305
108.76,0.09375862068965518,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.29216501,1.130000015
108.76,0.09295726495726496,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.28569701,0.8849999900000001
108.76,0.10768316831683168,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.30588201,0.91000001
108.76,0.10358095238095238,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.28163701,1.7349999999999999
108.76,0.10260377358490566,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.298884,2.28499995
108.76,0.10070370370370371,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.285411,2.99
108.76,0.09887272727272728,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.28690299,4.04999995
108.76,0.1144842105263158,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.36183,0.404999985
108.76,0.1093065326633166,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.32490301,0.775000005
110.17,0.10200925925925926,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.30132899,5.125
110.17,0.10015454545454545,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.294958,3.9750001500000005
110.17,0.09836607142857143,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.291116,3.02
110.17,0.09749557522123894,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.28729299,2.5799999
110.17,0.0958,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.283068,1.865
110.17,0.09497413793103449,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.28137699,1.57
110.17,0.11017,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.33977199,0.925000015
110.17,0.12241111111111111,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.429515,0.29500000000000004
110.17,0.11596842105263158,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.38097799,0.499999985
109.67,0.10444761904761905,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.30950201,6.7249999
109.67,0.0997,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.29548201,3.67499995
109.67,0.0988018018018018,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.293787,3.20000005
109.67,0.09791964285714286,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.289547,2.7350000000000003
109.67,0.09705309734513275,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.287126,2.3349999
109.67,0.09620175438596491,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.28804001,2.01499995
109.67,0.09536521739130435,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.28350201,1.67000005
109.67,0.09454310344827586,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.28224099,1.4
109.67,0.09373504273504274,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.28051701,1.15999995
109.67,0.0929406779661017,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.261291,0.80000005
109.67,0.09063636363636364,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.27794999,0.525000005
109.67,0.1034622641509434,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.29861599,2.14499995
109.67,0.0997,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.29562801,3.875
111.82,0.10353703703703702,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.31468201,6.25
111.82,0.10258715596330274,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.295461,5.4000001
111.82,0.10165454545454544,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.306492,4.95000005
111.82,0.09983928571428571,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.30006,3.82500005
111.82,0.09895575221238938,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.295037,3.3000000500000004
111.82,0.09808771929824561,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.294191,2.87000005
