S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
185.68,0.9772631578947368,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.38258001,5.0
185.68,0.9284,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.37184501,1.02
185.68,0.8841904761904762,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.361065,1.32499995
185.68,0.6877037037037037,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.31221199,0.8350000049999999
185.68,0.6189333333333333,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.30044901,0.325
185.68,0.807304347826087,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.342062,2.37
185.68,0.7141538461538461,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.31917799,1.12
182.56,0.652,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.308258,0.53
182.56,0.73024,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.32561201,1.29499995
182.56,0.8298181818181818,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.34858999,2.6600001
182.56,0.7937391304347826,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.33986899,2.13
182.56,0.7606666666666667,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.33217901,1.67500005
182.56,0.652,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.305473,5.67499995
182.56,0.8298181818181818,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.34965599,1.82999995
182.56,0.7937391304347826,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.33954999,2.2899999500000003
182.56,0.7606666666666667,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.332816,2.8399999
182.56,1.2170666666666667,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.441735,0.244999995
182.56,1.0738823529411765,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.41040099,0.47
182.56,0.9608421052631579,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.38172799,0.84
187.0,0.6678571428571428,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.303368,0.625
187.0,0.748,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.32199201,1.495
187.0,0.6233333333333333,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.29608801,0.325
187.0,0.85,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.34976,3.01
187.0,0.8130434782608695,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.33779901,2.4200001
187.0,0.6678571428571428,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.303141,5.2249999
187.0,0.7192307692307692,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.31627199,3.75
188.4,0.7536,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.30231601,0.859999985
188.4,0.8563636363636364,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.33583799,2.4300000500000003
188.4,0.8191304347826087,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.32337001,1.80000005
188.4,0.785,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.31219199,1.275
188.4,0.7246153846153847,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.29483601,0.555000005
188.4,0.6728571428571429,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.29756001,0.6299999949999999
188.4,0.7536,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.31495801,1.5150000000000001
188.4,0.8563636363636364,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.33973399,3.04999995
188.4,0.785,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.32292399,1.95500005
188.4,0.7246153846153847,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.30869499,1.1549999999999998
188.4,0.7536,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.30214301,2.31499995
188.4,0.8563636363636364,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.33531901,0.8849999900000001
188.4,0.8191304347826087,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.32298201,1.255
188.4,0.785,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.31297001,1.7349999999999999
188.4,0.8191304347826087,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.33236101,1.91499995
188.4,0.785,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.32307199,2.3950001
188.4,0.9915789473684211,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.37557399,4.79999995
188.4,0.8971428571428571,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.3529,3.725
188.4,0.9420000000000001,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.364604,0.41000000000000003
188.4,1.0466666666666666,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.39889801,0.175
188.4,0.9915789473684211,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.37878701,0.265
186.16,1.2410666666666665,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.493586,8.3499999
186.16,0.9308,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.37064099,3.75
186.16,0.8864761904761904,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.35387999,2.96500005
186.16,0.8864761904761904,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.35509101,3.54999995
186.16,0.8864761904761904,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.350862,0.67000002
186.16,0.9797894736842105,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.382806,0.29999999499999996
186.16,0.9797894736842105,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.37396199,0.69999999
186.16,0.74464,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.30705401,0.78
186.16,0.8461818181818181,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.33869401,2.26
186.16,0.809391304347826,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.32699901,1.65999995
186.16,0.7756666666666666,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.31625199,1.16499995
186.16,0.716,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.299954,0.5
186.16,0.6894814814814815,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.303215,0.784999995
186.16,0.6648571428571428,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.29915699,0.574999985
186.16,0.74464,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.31574699,1.4049999999999998
186.16,0.8461818181818181,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.339935,2.88
186.16,0.7756666666666666,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.322837,1.82
186.16,0.716,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.30893299,1.06
186.16,0.6894814814814815,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.28685701,4.0000001
186.16,0.74464,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.304775,2.4850000000000003
186.16,0.8461818181818181,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.33618301,0.965000005
186.16,0.809391304347826,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.32476401,1.365
186.16,0.7756666666666666,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.314096,1.87
186.16,0.716,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.29595399,3.20000005
186.16,0.6894814814814815,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.30243999,4.4749999
186.16,0.74464,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.315761,3.1000000500000002
186.16,0.8461818181818181,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.341142,1.58500005
186.16,0.7756666666666666,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.32198799,2.51
186.16,0.716,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.308204,3.75
188.64,0.8982857142857142,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.38012099,2.765
188.64,0.9431999999999999,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.40254399,0.100000002
188.64,0.8982857142857142,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.383717,0.204999995
188.64,0.9928421052631579,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.429427,0.049999999
188.64,0.9431999999999999,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.353486,0.81
188.64,1.1096470588235294,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.395208,0.32000000500000003
188.64,0.8982857142857142,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.34091601,1.07
188.64,0.6986666666666667,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.30961001,0.0699999985
188.64,0.6737142857142857,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.314807,0.0299999995
188.64,0.7545599999999999,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.325344,0.385000005
188.64,0.8574545454545454,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.359934,1.9449999500000001
188.64,0.8201739130434782,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.347969,1.2650000000000001
188.64,0.7859999999999999,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.33550799,0.7400000099999999
188.64,0.7255384615384615,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.31628999,0.17500000500000001
188.64,0.6986666666666667,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.29259601,0.784999995
188.64,0.6737142857142857,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.28794801,0.564999995
188.64,0.7545599999999999,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.30500299,1.43
188.64,0.6287999999999999,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.28151199,0.28
188.64,0.8574545454545454,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.32998201,2.975
188.64,0.8201739130434782,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.321284,2.385
188.64,0.7859999999999999,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.31303,1.87
188.64,0.7255384615384615,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.298976,1.07499995
188.64,0.6737142857142857,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.27689999,4.45000005
188.64,0.7545599999999999,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.326664,1.82499995
188.64,0.8574545454545454,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.364274,0.390000005
188.64,0.8201739130434782,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.347489,0.69999999
188.64,0.7859999999999999,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.33488801,1.17500005
188.64,0.7255384615384615,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.321098,2.62
188.64,0.7545599999999999,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.30587101,2.855
188.64,0.8574545454545454,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.331135,1.4049999999999998
188.64,0.8201739130434782,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.321778,1.81
188.64,0.7859999999999999,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.31293899,2.2899999500000003
188.64,0.7255384615384615,0.0031651611428571425,179,0,0.0,0.0,0.0,0.0,0.0,0.30008399,3.5
188.64,0.9431999999999999,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.353549,5.20000005
188.64,0.7545599999999999,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.319518,2.4550000499999998
188.64,0.6287999999999999,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.29485899,0.93000001
188.64,0.5389714285714285,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.278577,0.290000005
188.64,0.9431999999999999,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.355203,1.59000005
188.64,0.7545599999999999,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.31829801,3.79999995
188.64,0.8383999999999999,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.33572599,2.5399999500000003
186.32,0.9316,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.45776999,3.475
186.32,0.8872380952380952,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.42388701,2.5999999
186.32,0.9806315789473684,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.49303001,4.39999985
186.32,1.0646857142857142,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.61014998,5.875
186.32,0.9316,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.35721901,4.20000005
