S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
80.209535,0.2005238375,0.05139253,31,0,0.0,0.0,0.0,0.0,0.0,0.167284,1.02499999
80.31132375000001,0.17846960833333336,0.05550911285714286,185,1,0.0,0.0,0.0,0.0,0.0,0.231767,0.875
79.39522500000001,0.19848806250000003,0.05513152485714286,89,1,0.0,0.0,0.0,0.0,0.0,0.238425,1.375
79.39522500000001,0.19848806250000003,0.05593829457142857,180,0,0.0,0.0,0.0,0.0,0.0,0.23241401,3.0
78.74377700000001,0.17498617111111114,0.05603649085714285,179,1,0.0,0.0,0.0,0.0,0.0,0.21365599,0.524999995
79.639518,0.22754148,0.05608107628571428,178,0,0.0,0.0,0.0,0.0,0.0,0.235921,0.875
77.1558725,0.19288968125,0.05449311228571429,31,1,0.0,0.0,0.0,0.0,0.0,0.287238,0.47500000499999995
77.1558725,0.22044535,0.05449311228571429,31,0,0.0,0.0,0.0,0.0,0.0,0.31891701,0.42500001
77.1558725,0.19288968125,0.05449311228571429,31,0,0.0,0.0,0.0,0.0,0.0,0.28033701,2.79999995
82.0417325,0.20510433125,0.055653642380952384,178,1,0.0,0.0,0.0,0.0,0.0,0.23712,2.79999995
82.0417325,0.1823149611111111,0.055653642380952384,178,1,0.0,0.0,0.0,0.0,0.0,0.21599799,0.875
82.0417325,0.23440494999999997,0.055653642380952384,178,0,0.0,0.0,0.0,0.0,0.0,0.25366801,0.77499998
91.35220185000001,0.20300489300000002,0.05444691542857142,93,1,0.0,0.0,0.0,0.0,0.0,0.198744,1.675
91.43415045,0.203187001,0.054466581714285714,92,1,0.0,0.0,0.0,0.0,0.0,0.23869599,2.05
98.27859959999999,0.19655719919999998,0.053527137428571424,187,1,0.0,0.0,0.0,0.0,0.0,0.221039,2.25
98.27859959999999,0.19655719919999998,0.053527137428571424,187,0,0.0,0.0,0.0,0.0,0.0,0.223801,4.1000001500000005
