S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
165.11734785,0.3002133597272727,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.29756901,3.9
165.11734785,0.27519557975,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.271824,1.575
165.11734785,0.25402668899999997,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.25909001,0.5
165.11734785,0.25402668899999997,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.261904,1.325
162.75227178,0.2712537863,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.27016601,2.375
162.75227178,0.32550454356,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.314971,1.2999999999999998
164.3873861,0.29888615654545453,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.28156501,2.5249999499999998
164.3873861,0.3131188306666666,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.291684,4.29999995
164.3873861,0.2529036709230769,0.0031651611428571425,179,1,0.0,0.0,0.0,0.0,0.0,0.255521,1.125
164.3873861,0.29888615654545453,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.284637,1.325
164.3873861,0.3131188306666666,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.302728,0.625
162.16830238,0.2948514588727273,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.28197199,2.1
162.16830238,0.3088920045333333,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.302311,3.8000000500000004
162.16830238,0.27028050396666664,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.26631799,2.2250000500000002
162.16830238,0.32433660476,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.31432101,0.29999999499999996
162.16830238,0.2948514588727273,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.270284,1.475
162.16830238,0.3088920045333333,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.28752699,0.674999985
162.16830238,0.3603740052888889,0.0031335191428571428,178,0,0.0,0.0,0.0,0.0,0.0,0.330971,1.225
158.19731045999998,0.28763147356363633,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.27631399,1.35
158.19731045999998,0.30132821039999996,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.287265,2.7250000500000002
158.19731045999998,0.28763147356363633,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.274672,2.1499999499999998
158.19731045999998,0.30132821039999996,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.289882,1.05
158.19731045999998,0.31639462092,0.0030781908571428573,177,0,0.0,0.0,0.0,0.0,0.0,0.30207801,2.7749999499999998
155.71544050999998,0.2831189827454545,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.27912301,0.97499999
155.71544050999998,0.2966008390666666,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.29123399,2.15
155.71544050999998,0.2708094617565217,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.26347899,0.32499999999999996
155.71544050999998,0.31143088101999994,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.31200701,0.625
155.71544050999998,0.2831189827454545,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.27937001,2.6999999499999996
155.71544050999998,0.2966008390666666,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.291825,1.375
163.04425648,0.27174042746666666,0.002342586857142857,31,1,0.0,0.0,0.0,0.0,0.0,0.26541099,0.29999999499999996
163.04425648,0.2964441026909091,0.002342586857142857,31,0,0.0,0.0,0.0,0.0,0.0,0.24460299,1.5499999999999998
164.56257692,0.2992046853090909,0.002336524,30,1,0.0,0.0,0.0,0.0,0.0,0.27124199,2.325
164.56257692,0.2861957859478261,0.002336524,30,1,0.0,0.0,0.0,0.0,0.0,0.25384,1.024999995
163.27784424,0.2968688077090909,0.0023342174285714288,29,1,0.0,0.0,0.0,0.0,0.0,0.241927,1.85
163.27784424,0.2839614682434783,0.0023342174285714288,29,1,0.0,0.0,0.0,0.0,0.0,0.22437701,0.67500001
163.27784424,0.3110054176,0.0023342174285714288,29,0,0.0,0.0,0.0,0.0,0.0,0.27847001,0.57499999
163.27784424,0.2968688077090909,0.0023342174285714288,29,0,0.0,0.0,0.0,0.0,0.0,0.246163,1.25
169.59271712,0.28265452853333334,0.002392358,32,1,0.0,0.0,0.0,0.0,0.0,0.25982699,0.900000005
169.59271712,0.30835039476363635,0.002392358,32,0,0.0,0.0,0.0,0.0,0.0,0.29729,0.900000005
171.58930727999999,0.31198055869090907,0.00240692,31,1,0.0,0.0,0.0,0.0,0.0,0.292853,4.0999999
171.58930727999999,0.2859821788,0.00240692,31,1,0.0,0.0,0.0,0.0,0.0,0.25116101,1.05
171.58930727999999,0.31198055869090907,0.00240692,31,0,0.0,0.0,0.0,0.0,0.0,0.29587799,0.69999999
171.58930727999999,0.2859821788,0.00240692,31,0,0.0,0.0,0.0,0.0,0.0,0.249385,2.625
171.9122851,0.3125677910909091,0.002428366470588235,30,1,0.0,0.0,0.0,0.0,0.0,0.28666601,4.1500001
171.9122851,0.2865204751666667,0.002428366470588235,30,1,0.0,0.0,0.0,0.0,0.0,0.251174,1.0750000000000002
171.9122851,0.3125677910909091,0.002428366470588235,30,0,0.0,0.0,0.0,0.0,0.0,0.291897,0.625
170.50292733999999,0.3100053224363636,0.002476309411764706,29,1,0.0,0.0,0.0,0.0,0.0,0.29425901,3.8000000500000004
170.50292733999999,0.28417154556666663,0.002476309411764706,29,1,0.0,0.0,0.0,0.0,0.0,0.246078,0.849999995
170.50292733999999,0.28417154556666663,0.002476309411764706,29,0,0.0,0.0,0.0,0.0,0.0,0.242845,2.75
177.25609993999998,0.32228381807272727,0.003967187142857143,187,1,0.0,0.0,0.0,0.0,0.0,0.288055,7.60000015
177.25609993999998,0.2954268332333333,0.003967187142857143,187,0,0.0,0.0,0.0,0.0,0.0,0.26931801,4.70000005
181.7484278,0.27961296584615386,0.003905506813186813,185,1,0.0,0.0,0.0,0.0,0.0,0.253878,2.9749999
181.7484278,0.25964061114285714,0.003905506813186813,185,1,0.0,0.0,0.0,0.0,0.0,0.240613,1.425
181.7484278,0.33045168690909094,0.003905506813186813,185,0,0.0,0.0,0.0,0.0,0.0,0.29078099,2.2749999499999998
181.7484278,0.30291404633333335,0.003905506813186813,185,0,0.0,0.0,0.0,0.0,0.0,0.26949999,4.0
181.7484278,0.27961296584615386,0.003905506813186813,185,0,0.0,0.0,0.0,0.0,0.0,0.25307301,6.5999999
179.75183764,0.35950367528,0.003222585142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.316374,11.55
179.75183764,0.29958639606666665,0.003222585142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.245361,3.5
179.75183764,0.27654128867692307,0.003222585142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.23034801,1.325
179.75183764,0.29958639606666665,0.003222585142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.249828,2.6000000500000002
179.75183764,0.29958639606666665,0.0038359307692307693,184,1,0.0,0.0,0.0,0.0,0.0,0.268011,4.95000005
179.75183764,0.27654128867692307,0.0038359307692307693,184,1,0.0,0.0,0.0,0.0,0.0,0.25200701,2.65
179.75183764,0.2567883394857143,0.0038359307692307693,184,1,0.0,0.0,0.0,0.0,0.0,0.242698,1.275
179.75183764,0.29958639606666665,0.0038359307692307693,184,0,0.0,0.0,0.0,0.0,0.0,0.269981,4.29999995
179.75183764,0.27654128867692307,0.0038359307692307693,184,0,0.0,0.0,0.0,0.0,0.0,0.25202399,7.0
177.52035452,0.29586725753333337,0.003207657142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.24833199,3.075
177.52035452,0.27310823772307696,0.003207657142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.227273,1.05
177.52035452,0.29586725753333337,0.003207657142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.24866299,2.92499995
177.52035452,0.27310823772307696,0.003809890857142857,183,1,0.0,0.0,0.0,0.0,0.0,0.25193599,2.35
181.27864188,0.30213106980000004,0.002666382142857143,32,1,0.0,0.0,0.0,0.0,0.0,0.25407499,2.82500005
181.27864188,0.290045827008,0.002666382142857143,32,1,0.0,0.0,0.0,0.0,0.0,0.23575699,1.375
181.27864188,0.2788902182769231,0.0038924868571428572,179,1,0.0,0.0,0.0,0.0,0.0,0.246589,2.6999999499999996
182.13012886,0.3035502147666667,0.0026859660714285715,31,1,0.0,0.0,0.0,0.0,0.0,0.256387,3.0
182.13012886,0.291408206176,0.0026859660714285715,31,1,0.0,0.0,0.0,0.0,0.0,0.232411,1.45
182.13012886,0.2802001982461539,0.0026859660714285715,31,1,0.0,0.0,0.0,0.0,0.0,0.224584,0.57499999
182.13012886,0.3035502147666667,0.0026859660714285715,31,0,0.0,0.0,0.0,0.0,0.0,0.25859201,0.999999995
184.978206,0.30829701,0.0027089189285714288,30,1,0.0,0.0,0.0,0.0,0.0,0.287599,3.85
184.978206,0.2959651296,0.0027089189285714288,30,1,0.0,0.0,0.0,0.0,0.0,0.265131,2.1499999499999998
184.978206,0.2845818553846154,0.0027089189285714288,30,1,0.0,0.0,0.0,0.0,0.0,0.25110301,0.999999995
184.978206,0.32170122782608696,0.0027089189285714288,30,0,0.0,0.0,0.0,0.0,0.0,0.315916,0.45000000500000004
184.978206,0.30829701,0.0027089189285714288,30,0,0.0,0.0,0.0,0.0,0.0,0.28801101,0.875
184.978206,0.2959651296,0.0027089189285714288,30,0,0.0,0.0,0.0,0.0,0.0,0.26885399,1.7
184.978206,0.2845818553846154,0.004297269142857143,177,1,0.0,0.0,0.0,0.0,0.0,0.25112501,3.25
184.978206,0.2312227575,0.004297269142857143,177,0,0.0,0.0,0.0,0.0,0.0,0.22683799,17.9499995
184.50842008,0.30751403346666667,0.0027262621428571425,29,1,0.0,0.0,0.0,0.0,0.0,0.29147699,3.75
184.50842008,0.29521347212800003,0.0027262621428571425,29,1,0.0,0.0,0.0,0.0,0.0,0.265365,2.04999995
184.50842008,0.28385910781538465,0.0027262621428571425,29,1,0.0,0.0,0.0,0.0,0.0,0.25426999,0.95000001
184.50842008,0.46127105020000003,0.0027262621428571425,29,0,0.0,0.0,0.0,0.0,0.0,0.77216601,0.0750000005
184.50842008,0.3354698546909091,0.0027262621428571425,29,0,0.0,0.0,0.0,0.0,0.0,0.35532799,0.25000000499999997
184.50842008,0.30751403346666667,0.0027262621428571425,29,0,0.0,0.0,0.0,0.0,0.0,0.29570201,0.92500001
