S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
476.65700096,0.7944283349333333,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.22853599,3.8000000500000004
476.65700096,0.7333184630153846,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.21712901,2.1000000500000002
476.65700096,1.0592377799111112,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.27639699,1.6
476.65700096,0.8666490926545455,0.005243225274725274,368,0,0.0,0.0,0.0,0.0,0.0,0.240373,4.5999999
476.65700096,0.8666490926545455,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.23418801,2.70000005
476.65700096,0.7944283349333333,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.204218,0.375
476.65700096,0.95331400192,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.247861,7.0
476.65700096,0.8666490926545455,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.23474,0.775000005
476.65700096,0.95331400192,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.28702801,0.125000005
468.03767668,0.8509775939636364,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.241575,2.04999995
468.03767668,0.7800627944666667,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.21923301,0.25000000499999997
468.03767668,0.8509775939636364,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.23390301,1.1
468.03767668,0.7800627944666667,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.219474,4.35000015
457.99574548,0.8327195372363636,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.25241801,1.45
457.99574548,0.7633262424666666,0.0023289942857142856,30,1,0.0,0.0,0.0,0.0,0.0,0.23403201,0.15000000000000002
457.99574548,0.8327195372363636,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.25252801,1.725
457.99574548,0.91599149096,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.28806201,0.29999999499999996
457.99574548,0.9744590329361702,0.0023289942857142856,30,0,0.0,0.0,0.0,0.0,0.0,0.32407999,0.10000000549999999
457.99574548,0.7046088392,0.005042444395604395,366,1,0.0,0.0,0.0,0.0,0.0,0.224534,1.625
457.99574548,1.5266524849333332,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.36089301,0.29999999499999996
457.99574548,1.0177683232888888,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.27834201,2.025
457.99574548,0.91599149096,0.005042444395604395,366,0,0.0,0.0,0.0,0.0,0.0,0.260748,3.5
452.22163503999997,0.962173691574468,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.33639699,0.15000000000000002
452.22163503999997,0.9421284063333333,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.318308,0.20000000499999998
452.22163503999997,0.8222211546181818,0.0023286232142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.26780799,1.2
452.22163503999997,0.8222211546181818,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.26796901,2.17499995
452.22163503999997,0.9044432700799999,0.0023286232142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.305545,0.45000000500000004
452.22163503999997,1.5074054501333332,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.361056,0.32500000500000004
452.22163503999997,1.0049369667555554,0.005043505054945056,365,0,0.0,0.0,0.0,0.0,0.0,0.28439501,2.2749999499999998
455.56894544,0.700875300676923,0.005008636373626374,362,1,0.0,0.0,0.0,0.0,0.0,0.23124,1.65
455.56894544,0.91113789088,0.005008636373626374,362,0,0.0,0.0,0.0,0.0,0.0,0.26778701,3.6999999499999996
442.76548316,0.88553096632,0.0052232156043956045,360,1,0.0,0.0,0.0,0.0,0.0,0.26124299,6.70000005
442.76548316,0.8050281511999999,0.0052232156043956045,360,1,0.0,0.0,0.0,0.0,0.0,0.245474,4.0999999
442.76548316,0.7379424719333333,0.0052232156043956045,360,1,0.0,0.0,0.0,0.0,0.0,0.23631801,2.3500000500000002
442.76548316,1.1069137079,0.0052232156043956045,360,0,0.0,0.0,0.0,0.0,0.0,0.298143,1.3
442.76548316,0.983923295911111,0.0052232156043956045,360,0,0.0,0.0,0.0,0.0,0.0,0.27685401,2.375
442.76548316,0.8050281511999999,0.0052232156043956045,360,0,0.0,0.0,0.0,0.0,0.0,0.246874,6.54999995
441.8449728,0.8836899456,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.26539901,3.3000000500000004
441.8449728,0.803354496,0.0023469157142857145,32,1,0.0,0.0,0.0,0.0,0.0,0.233299,0.599999995
441.8449728,0.8836899456,0.0023469157142857145,32,0,0.0,0.0,0.0,0.0,0.0,0.251555,0.55000001
441.8449728,0.803354496,0.0023469157142857145,32,0,0.0,0.0,0.0,0.0,0.0,0.216088,2.8500000500000002
444.10440732,0.88820881464,0.002342586857142857,31,1,0.0,0.0,0.0,0.0,0.0,0.24150901,3.4499999499999996
444.10440732,0.8074625587636364,0.002342586857142857,31,1,0.0,0.0,0.0,0.0,0.0,0.216829,0.599999995
444.10440732,0.8074625587636364,0.002342586857142857,31,0,0.0,0.0,0.0,0.0,0.0,0.224176,2.6000000500000002
445.52701424,0.8100491168,0.002336524,30,1,0.0,0.0,0.0,0.0,0.0,0.20990101,0.599999995
445.52701424,0.89105402848,0.002336524,30,0,0.0,0.0,0.0,0.0,0.0,0.23982,0.35000001000000003
444.85755215999995,0.8088319130181817,0.0023342174285714288,29,1,0.0,0.0,0.0,0.0,0.0,0.21303,0.57499999
444.85755215999995,0.7414292535999999,0.0023342174285714288,29,1,0.0,0.0,0.0,0.0,0.0,0.253907,0.0750000005
444.85755215999995,0.8897151043199999,0.0023342174285714288,29,0,0.0,0.0,0.0,0.0,0.0,0.24051601,0.35000001000000003
444.85755215999995,0.8088319130181817,0.0023342174285714288,29,0,0.0,0.0,0.0,0.0,0.0,0.21318001,2.42499995
463.76985592,0.8432179198545454,0.00371890956043956,187,1,0.0,0.0,0.0,0.0,0.0,0.22244699,3.6
463.76985592,0.7729497598666667,0.00371890956043956,187,1,0.0,0.0,0.0,0.0,0.0,0.20519701,1.5
463.85353868,0.8433700703272727,0.002392358,32,1,0.0,0.0,0.0,0.0,0.0,0.205746,1.425
463.85353868,0.7730892311333333,0.0035539034065934063,186,1,0.0,0.0,0.0,0.0,0.0,0.205055,1.475
470.88289052,0.8561507100363637,0.00240692,31,1,0.0,0.0,0.0,0.0,0.0,0.193913,1.875
470.88289052,0.8561507100363637,0.00240692,31,0,0.0,0.0,0.0,0.0,0.0,0.195776,0.80000001
470.88289052,0.8561507100363637,0.0035540871428571424,185,1,0.0,0.0,0.0,0.0,0.0,0.223006,4.0
470.88289052,0.7848048175333333,0.0035540871428571424,185,1,0.0,0.0,0.0,0.0,0.0,0.20374399,1.7
470.88289052,0.8561507100363637,0.0035540871428571424,185,0,0.0,0.0,0.0,0.0,0.0,0.220689,3.0249999499999998
474.14651815999997,0.94829303632,0.002428366470588235,30,1,0.0,0.0,0.0,0.0,0.0,-99.989998,6.6500001
474.14651815999997,0.8620845784727272,0.002428366470588235,30,1,0.0,0.0,0.0,0.0,0.0,0.18664201,2.1000000500000002
474.14651815999997,0.8620845784727272,0.003174645714285714,93,1,0.0,0.0,0.0,0.0,0.0,0.21559399,3.1999999499999996
