S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
347.86195827,1.1595398609,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.32533199,8.9000001
347.86195827,0.869654895675,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.26176301,2.125
347.86195827,0.9938913093428572,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.28458101,1.625
344.69875522,0.86174688805,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.26161,1.95
345.87365921,1.1529121973666667,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.316636,8.6499996
345.87365921,0.864684148025,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.25843,3.94999995
341.62592939999996,0.9760740839999998,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.29119101,3.75
341.62592939999996,0.8540648234999999,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.251167,1.024999995
341.62592939999996,0.8540648234999999,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.25319201,1.75
341.62592939999996,1.3665037176,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.43042701,0.0750000005
341.62592939999996,0.9760740839999998,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.28435999,0.999999995
341.62592939999996,0.8540648234999999,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.248243,3.3000000500000004
337.01669067,0.842541726675,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.25107399,0.849999995
337.01669067,0.842541726675,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.25109401,1.525
337.01669067,0.9629048304857143,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.27828199,1.1
337.01669067,0.842541726675,0.002651853142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.242392,3.6
337.01669067,0.842541726675,0.0031622477142857143,183,0,0.0,0.0,0.0,0.0,0.0,0.23434199,4.25
342.34894724000003,0.8558723681000001,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.219303,0.25000000499999997
342.34894724000003,0.9781398492571429,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.26928601,0.274999995
338.10121742999996,0.9660034783714284,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.271254,2.625
338.10121742999996,0.8452530435749999,0.0031335191428571428,178,1,0.0,0.0,0.0,0.0,0.0,0.245726,1.45
338.10121742999996,0.9660034783714284,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.240632,0.275000005
