S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
599.80840686,0.1764142373117647,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.22991399,29.1000005
605.5532135999999,0.17810388635294117,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.226794,30.299999
605.5532135999999,0.17301520388571426,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.222532,25.5
605.5532135999999,0.18923537924999997,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.232646,21.5
605.5532135999999,0.1835009738181818,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.228488,25.6499995
608.3352898200001,0.1789221440647059,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.226436,31.0500005
608.3352898200001,0.1738100828057143,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.22165699,26.0999995
608.3352898200001,0.21726260350714288,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.25625801,9.8000002
608.3352898200001,0.18434402721818183,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.224316,24.4499995
612.76132017,0.1802239176970588,0.01692361021978022,364,1,0.0,0.0,0.0,0.0,0.0,0.22390699,32.049999
612.76132017,0.13616918226,0.01692361021978022,364,1,0.0,0.0,0.0,0.0,0.0,0.188959,2.55
612.76132017,0.2112970069551724,0.01692361021978022,364,0,0.0,0.0,0.0,0.0,0.0,0.24836899,11.25
612.76132017,0.18568524853636362,0.01692361021978022,364,0,0.0,0.0,0.0,0.0,0.0,0.225197,23.5500005
609.27469218,0.17919843887647058,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.20945901,7.1500001
609.27469218,0.17407848348,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.19835,3.25
609.27469218,0.16924297005,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.192966,1.25
609.27469218,0.1646688357243243,0.016758222857142856,31,1,0.0,0.0,0.0,0.0,0.0,0.194188,0.450000015
609.27469218,0.1846286946,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.22316401,5.3499999
609.27469218,0.17919843887647058,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.209158,9.4500003
609.27469218,0.17407848348,0.016758222857142856,31,0,0.0,0.0,0.0,0.0,0.0,0.198755,15.600000000000001
609.27469218,0.253864455075,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.28758499,4.1500001
609.27469218,0.19654022328387097,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.232737,16.549999
609.27469218,0.1846286946,0.016673046593406595,360,0,0.0,0.0,0.0,0.0,0.0,0.22242101,23.8500005
614.3149471500001,0.19197342098437503,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.26110101,23.3
614.3149471500001,0.18068086680882356,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.221031,8.8499999
614.3149471500001,0.17551855632857144,0.016714724285714286,30,1,0.0,0.0,0.0,0.0,0.0,0.20881601,4.3499999
614.3149471500001,0.19197342098437503,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.250999,2.5500000500000004
614.3149471500001,0.18615604459090912,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.230169,4.54999995
614.3149471500001,0.18068086680882356,0.016714724285714286,30,0,0.0,0.0,0.0,0.0,0.0,0.214325,8.10000015
605.87839134,0.18359951252727272,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.23706999,11.899999999999999
605.87839134,0.1781995268647059,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.223859,6.45000005
605.87839134,0.17310811181142857,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.21392,2.9499999499999996
605.87839134,0.16829955315,0.016692569285714286,29,1,0.0,0.0,0.0,0.0,0.0,0.204447,1.075
605.87839134,0.20892358322068966,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.33478099,0.775000005
605.87839134,0.20195946378000001,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.30278301,1.2000000000000002
605.87839134,0.18933699729375,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.25343499,3.5500000500000004
605.87839134,0.18359951252727272,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.237913,6.4000001
605.87839134,0.1781995268647059,0.016692569285714286,29,0,0.0,0.0,0.0,0.0,0.0,0.222149,10.85
602.80726824,0.18837727132499998,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.276043,18.450001
602.80726824,0.1772962553647059,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.230674,5.9000001
602.80726824,0.1629208833081081,0.016642117857142858,28,1,0.0,0.0,0.0,0.0,0.0,0.207406,0.300000005
602.80726824,0.1944539574967742,0.016642117857142858,28,0,0.0,0.0,0.0,0.0,0.0,0.28819701,2.425
602.80726824,0.18837727132499998,0.016642117857142858,28,0,0.0,0.0,0.0,0.0,0.0,0.26616901,4.20000005
609.47341191,0.190460441221875,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.22076701,19.9000005
609.47341191,0.18468891269999999,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.201281,12.100000000000001
609.47341191,0.17925688585588234,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.18419699,6.04999995
609.47341191,0.1741352605457143,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.173904,2.4
609.47341191,0.169298169975,0.01668964785714286,31,1,0.0,0.0,0.0,0.0,0.0,0.16855399,0.75
609.47341191,0.19660432642258063,0.01668964785714286,31,0,0.0,0.0,0.0,0.0,0.0,0.25279599,1.475
609.47341191,0.190460441221875,0.01668964785714286,31,0,0.0,0.0,0.0,0.0,0.0,0.223263,2.5
