S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
301.84460320000005,0.8877782447058825,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.38356701,3.9
301.84460320000005,0.8384572311111113,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.36705601,2.4250000500000004
301.84460320000005,0.815796224864865,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.355097,1.8
301.84460320000005,0.7943279031578949,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.34371501,1.275
301.84460320000005,0.9146806157575759,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.41688699,4.79999995
301.84460320000005,0.7546115080000001,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.325618,0.55000001
301.84460320000005,0.8624131520000001,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.368664,3.1
301.84460320000005,0.7739605210256412,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.33759701,0.875
301.84460320000005,0.7362063492682928,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.324296,0.35000001000000003
301.84460320000005,0.7186776266666668,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.31677201,0.20000000499999998
301.84460320000005,0.8877782447058825,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.36863601,0.39999998999999997
301.84460320000005,0.8384572311111113,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.35027,0.900000005
301.84460320000005,0.815796224864865,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.34531301,1.3
301.84460320000005,0.7943279031578949,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.328365,1.75
301.84460320000005,0.973692268387097,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.40511,0.10000000549999999
301.84460320000005,0.9432643850000002,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.40000501,0.17500000500000001
301.84460320000005,0.9146806157575759,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.376609,0.25000000499999997
301.84460320000005,0.8624131520000001,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.35639501,0.599999995
301.84460320000005,0.7739605210256412,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.32126299,2.3500000500000002
301.84460320000005,1.0061486773333335,0.0023437435714285717,32,1,0.0,0.0,0.0,0.0,0.0,0.49892601,7.5999999
301.84460320000005,1.0061486773333335,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.43569601,0.0750000005
301.84460320000005,1.040843459310345,0.0023437435714285717,32,0,0.0,0.0,0.0,0.0,0.0,0.45651701,0.05
301.84460320000005,0.670765784888889,0.005243225274725274,368,1,0.0,0.0,0.0,0.0,0.0,0.31494099,2.20000005
284.91873760000004,0.8379962870588237,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.27169499,1.85
284.91873760000004,0.7914409377777779,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.25964299,0.75
284.91873760000004,0.7700506421621622,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.25631601,0.42500000000000004
284.91873760000004,0.7497861515789475,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.25512099,0.225
284.91873760000004,0.863390113939394,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.27723199,2.6000000500000002
284.91873760000004,0.7122968440000002,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.275273,0.0750000005
284.91873760000004,0.8140535360000001,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.27119601,1.25
284.91873760000004,0.7305608656410257,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.26256099,0.125000005
284.91873760000004,0.6783779466666667,0.0023350282142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.29380101,0.0250000005
284.91873760000004,0.8379962870588237,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.27822599,0.599999995
284.91873760000004,0.7914409377777779,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.26363999,1.5
284.91873760000004,0.7700506421621622,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.253158,2.1499999499999998
284.91873760000004,0.7497861515789475,0.0023350282142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.25057501,2.95000005
