S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
1463.739333,1.1346816534883721,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.25745201,3.94999995
1463.739333,1.1259533330769231,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.252529,3.3999999499999998
1463.739333,1.1005558894736842,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.243341,2.05499995
1463.739333,1.0923427858208956,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.244596,1.77
1463.739333,1.2728168113043479,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.32490301,0.589999975
1444.308665,1.1196191201550387,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.26549301,3.1999999499999996
1444.308665,1.1110066653846153,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.26383501,2.75
1444.308665,1.1025256984732825,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.263197,2.365
1444.308665,1.094173231060606,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.255472,1.93
1444.308665,1.0778422873134328,0.017064635142857144,28,1,0.0,0.0,0.0,0.0,0.0,0.25198799,1.3250000499999999
1444.308665,1.2559205782608696,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.336281,0.80999997
1444.308665,1.2035905541666667,0.017064635142857144,28,0,0.0,0.0,0.0,0.0,0.0,0.30263099,1.51000005
1434.254424,1.12051126875,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.26332301,3.3000000500000004
1434.254424,1.1032726338461538,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.25397101,2.365
1434.254424,1.0948507053435115,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.24911299,1.9649999999999999
1434.254424,1.0244674457142857,0.01728078057142857,32,1,0.0,0.0,0.0,0.0,0.0,0.243525,0.334999995
1434.254424,1.24717776,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.31944501,0.975
1434.254424,1.2258584820512821,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.30695301,1.245
1434.254424,1.205255818487395,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.298677,1.635
1434.254424,1.19521202,0.01728078057142857,32,0,0.0,0.0,0.0,0.0,0.0,0.28578699,1.75999995
1461.931829,1.14213424140625,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.28097099,4.7750001
1461.931829,1.1245629453846155,0.01740261057142857,31,1,0.0,0.0,0.0,0.0,0.0,0.27416199,3.67499995
1461.931829,1.178977281451613,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.298152,2.42499995
1461.931829,1.1695454632000002,0.01740261057142857,31,0,0.0,0.0,0.0,0.0,0.0,0.29076901,2.6899999
1465.885744,1.110519503030303,0.016949128333333334,30,1,0.0,0.0,0.0,0.0,0.0,0.263468,2.75
1465.885744,1.2746832556521739,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.339863,0.689999995
1465.885744,1.2215714533333333,0.016949128333333334,30,0,0.0,0.0,0.0,0.0,0.0,0.31104699,1.2999999999999998
1483.6218770000003,1.0989791681481484,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.245239,1.91500005
1483.6218770000003,1.075088316666667,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.237174,1.04499999
1483.6218770000003,1.0597299121428574,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.237122,0.699999985
1483.6218770000003,1.0448041387323945,0.016955843333333335,29,1,0.0,0.0,0.0,0.0,0.0,0.23058,0.40999998
1483.6218770000003,1.348747160909091,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.38448799,0.32000000500000003
1483.6218770000003,1.2901059800000003,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.3459,0.5499999950000001
1483.6218770000003,1.2789843767241382,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.34288299,0.64500001
1483.6218770000003,1.2680528863247866,0.016955843333333335,29,0,0.0,0.0,0.0,0.0,0.0,0.331671,0.6949999950000001
1468.5970000000002,1.1210664122137406,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.27380499,3.2749999499999998
1468.5970000000002,1.1042082706766918,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.26634899,2.38
1468.5970000000002,1.0959679104477613,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.26148799,1.9750000499999998
1468.5970000000002,1.0798507352941178,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.25296801,1.32
1468.5970000000002,1.0719686131386863,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.24877299,1.060000005
1468.5970000000002,1.056544604316547,0.01684587875,28,1,0.0,0.0,0.0,0.0,0.0,0.25215101,0.7450000050000001
1468.5970000000002,1.12969,0.01684587875,28,0,0.0,0.0,0.0,0.0,0.0,0.27185601,4.2750001
1468.0321549999999,1.1121455719696969,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.263982,2.885
1468.0321549999999,1.1037835751879699,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.25923601,2.44500005
1468.0321549999999,1.0874312259259258,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.25096199,1.70999995
1468.0321549999999,1.0794354080882351,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.24786399,1.41500005
1468.0321549999999,1.071556317518248,0.017024108333333333,32,1,0.0,0.0,0.0,0.0,0.0,0.24404299,1.15
1468.0321549999999,1.174425724,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.28722599,2.52
1468.0321549999999,1.0955463843283582,0.017024108333333333,32,0,0.0,0.0,0.0,0.0,0.0,0.247612,6.70000005
1468.0321549999999,1.0874312259259258,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.246379,9.9250002
1468.0321549999999,0.9175200968749999,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.227235,2.89499995
1468.0321549999999,1.468032155,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.29242501,3.57500005
1468.0321549999999,1.3345746863636363,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.27633199,5.85000015
1468.0321549999999,1.2765497,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.26904601,7.35000015
1468.0321549999999,1.677751034285714,0.016871812197802198,368,0,0.0,0.0,0.0,0.0,0.0,0.31657499,1.8199999999999998
