S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
195.2016451,0.26026886013333334,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.221672,4.04999995
195.2016451,0.244002056375,0.045354936428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.193298,1.075
193.35091842,0.25780122456,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.22069401,3.5
193.35091842,0.241688648025,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.204036,0.900000005
192.0754176,0.240094272,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.21405099,0.775000005
192.0754176,0.2561005568,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.22935501,1.1
192.0754176,0.240094272,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.207745,3.6999999499999996
209.78237016,0.2468027884235294,0.04643425,32,1,0.0,0.0,0.0,0.0,0.0,0.18898199,1.325
209.78237016,0.2622279627,0.04643425,32,0,0.0,0.0,0.0,0.0,0.0,0.19925401,0.625
212.03325396,0.26504156745,0.046406774,30,1,0.0,0.0,0.0,0.0,0.0,0.195388,5.1500001
212.03325396,0.2494508870117647,0.046406774,30,1,0.0,0.0,0.0,0.0,0.0,0.18648601,1.65
216.40997246,0.25459996760000003,0.04640452371428571,29,1,0.0,0.0,0.0,0.0,0.0,0.186818,2.6999999499999996
216.40997246,0.3091571035142857,0.04640452371428571,29,0,0.0,0.0,0.0,0.0,0.0,0.37910599,0.075000005
227.64079294,0.2678126975764706,0.05084028257142857,186,1,0.0,0.0,0.0,0.0,0.0,0.21366601,9.6500001
232.23782065,0.2732209654705882,0.049871273714285715,93,1,0.0,0.0,0.0,0.0,0.0,0.21322399,9.3499999
232.23782065,0.25804202294444445,0.049871273714285715,93,1,0.0,0.0,0.0,0.0,0.0,0.197541,5.54999995
232.23782065,0.24446086384210527,0.049871273714285715,93,1,0.0,0.0,0.0,0.0,0.0,0.18595301,2.75
232.23782065,0.25804202294444445,0.05054601857142857,184,1,0.0,0.0,0.0,0.0,0.0,0.20601401,7.60000015
232.23782065,0.2732209654705882,0.049871273714285715,93,0,0.0,0.0,0.0,0.0,0.0,0.208428,0.97499999
232.23782065,0.2732209654705882,0.05054601857142857,184,0,0.0,0.0,0.0,0.0,0.0,0.215725,2.075
234.59913543,0.26066570603333333,0.04993238228571428,92,1,0.0,0.0,0.0,0.0,0.0,0.19894101,6.20000005
234.59913543,0.24694645834736842,0.04993238228571428,92,1,0.0,0.0,0.0,0.0,0.0,0.193041,3.3000000500000004
234.59913543,0.2759989828588235,0.05064560371428572,183,1,0.0,0.0,0.0,0.0,0.0,0.21848001,11.8
234.59913543,0.26066570603333333,0.05064560371428572,183,1,0.0,0.0,0.0,0.0,0.0,0.209067,8.25
234.59913543,0.24694645834736842,0.05064560371428572,183,1,0.0,0.0,0.0,0.0,0.0,0.200803,5.35000015
234.59913543,0.23459913543,0.05064560371428572,183,1,0.0,0.0,0.0,0.0,0.0,0.190411,3.1
234.59913543,0.26066570603333333,0.04993238228571428,92,0,0.0,0.0,0.0,0.0,0.0,0.20039301,1.9749999999999999
234.59913543,0.31279884724,0.05064560371428572,183,0,0.0,0.0,0.0,0.0,0.0,0.23932,0.525000005
234.59913543,0.26066570603333333,0.05064560371428572,183,0,0.0,0.0,0.0,0.0,0.0,0.20595799,3.25
234.90057987,0.24726376828421054,0.05003197428571429,89,1,0.0,0.0,0.0,0.0,0.0,0.19420999,3.3000000500000004
234.90057987,0.24726376828421054,0.05072386114285714,180,1,0.0,0.0,0.0,0.0,0.0,0.202649,5.4000001
233.77016322,0.292212704025,0.048684148571428575,32,1,0.0,0.0,0.0,0.0,0.0,0.299555,13.45
233.77016322,0.2597446258,0.048684148571428575,32,1,0.0,0.0,0.0,0.0,0.0,0.211649,4.3499999
233.77016322,0.24607385602105264,0.048684148571428575,32,1,0.0,0.0,0.0,0.0,0.0,0.185597,1.35
233.77016322,0.2597446258,0.05114343171428572,179,1,0.0,0.0,0.0,0.0,0.0,0.205054,7.8499999
233.77016322,0.24607385602105264,0.05114343171428572,179,1,0.0,0.0,0.0,0.0,0.0,0.19915099,5.04999995
233.77016322,0.24607385602105264,0.048684148571428575,32,0,0.0,0.0,0.0,0.0,0.0,0.18749,3.0249999499999998
236.8850891,0.24935272536842104,0.04877162571428571,31,1,0.0,0.0,0.0,0.0,0.0,0.182134,1.85
236.8850891,0.26320565455555556,0.051213336571428576,178,1,0.0,0.0,0.0,0.0,0.0,0.201343,8.5999999
