S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
16.34,0.10893333333333333,0.001519921111111111,31,1,0.0,0.0,0.0,0.0,0.0,0.62120903,1.9249999999999998
16.34,0.09337142857142858,0.001519921111111111,31,1,0.0,0.0,0.0,0.0,0.0,0.60614097,0.69999999
16.34,0.0817,0.001519921111111111,31,1,0.0,0.0,0.0,0.0,0.0,0.64124298,0.24000000000000002
16.34,0.07262222222222223,0.001519921111111111,31,1,0.0,0.0,0.0,0.0,0.0,0.71101701,0.1049999999
16.34,0.06536,0.001519921111111111,31,1,0.0,0.0,0.0,0.0,0.0,0.83564901,0.08000000489999999
16.34,0.10893333333333333,0.001519921111111111,31,0,0.0,0.0,0.0,0.0,0.0,0.585132,0.525000005
16.34,0.09337142857142858,0.001519921111111111,31,0,0.0,0.0,0.0,0.0,0.0,0.58798999,1.825
16.34,0.0817,0.001519921111111111,31,0,0.0,0.0,0.0,0.0,0.0,0.43135101,3.7100000499999997
16.19,0.10793333333333334,0.0014826433333333332,30,1,0.0,0.0,0.0,0.0,0.0,0.58857501,1.75
16.19,0.09251428571428572,0.0014826433333333332,30,1,0.0,0.0,0.0,0.0,0.0,0.57914901,0.5799999849999999
16.19,0.08095000000000001,0.0014826433333333332,30,1,0.0,0.0,0.0,0.0,0.0,0.58029699,0.14500000000000002
16.19,0.07195555555555556,0.0014826433333333332,30,1,0.0,0.0,0.0,0.0,0.0,0.71581203,0.09000000050000001
16.19,0.06476000000000001,0.0014826433333333332,30,1,0.0,0.0,0.0,0.0,0.0,0.71419901,0.0250000005
16.19,0.12952000000000002,0.0014826433333333332,30,0,0.0,0.0,0.0,0.0,0.0,0.64290702,0.0950000045
16.19,0.10793333333333334,0.0014826433333333332,30,0,0.0,0.0,0.0,0.0,0.0,0.57093,0.5300000149999999
16.19,0.09251428571428572,0.0014826433333333332,30,0,0.0,0.0,0.0,0.0,0.0,0.54518801,1.83
18.11,0.12073333333333333,0.0014551577777777776,29,1,0.0,0.0,0.0,0.0,0.0,0.40601099,3.11500005
18.11,0.10348571428571428,0.0014551577777777776,29,1,0.0,0.0,0.0,0.0,0.0,0.54352599,1.37
18.11,0.09054999999999999,0.0014551577777777776,29,1,0.0,0.0,0.0,0.0,0.0,0.593261,0.515
18.11,0.08048888888888889,0.0014551577777777776,29,1,0.0,0.0,0.0,0.0,0.0,0.615004,0.16500000999999997
18.11,0.07244,0.0014551577777777776,29,1,0.0,0.0,0.0,0.0,0.0,0.70965999,0.089999999
