S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
153.6,0.384,0.04771386703296703,367,1,0.0,0.0,0.0,0.0,0.0,0.273763,4.29999995
153.6,0.384,0.045378857142857144,31,1,0.0,0.0,0.0,0.0,0.0,0.27912799,0.67500001
153.6,0.43885714285714283,0.045378857142857144,31,0,0.0,0.0,0.0,0.0,0.0,0.33304,0.29999999499999996
154.0,0.385,0.04561330285714285,30,1,0.0,0.0,0.0,0.0,0.0,0.302708,0.775000005
154.0,0.44,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.36159301,0.35000001000000003
154.0,0.385,0.04561330285714285,30,0,0.0,0.0,0.0,0.0,0.0,0.30340099,2.17499995
152.4,0.381,0.045703176428571426,29,1,0.0,0.0,0.0,0.0,0.0,0.31464401,0.67500001
152.4,0.43542857142857144,0.045703176428571426,29,0,0.0,0.0,0.0,0.0,0.0,0.35378101,0.375
151.04,0.3776,0.047963703076923075,362,1,0.0,0.0,0.0,0.0,0.0,0.27335101,3.89999995
172.32,0.43079999999999996,0.048109317692307696,361,1,0.0,0.0,0.0,0.0,0.0,0.282031,7.20000005
172.32,0.34464,0.048109317692307696,361,0,0.0,0.0,0.0,0.0,0.0,0.242814,7.79999995
168.24,0.3738666666666667,0.050088905142857146,186,1,0.0,0.0,0.0,0.0,0.0,0.25864899,2.29999995
168.24,0.42060000000000003,0.050088905142857146,186,0,0.0,0.0,0.0,0.0,0.0,0.27037701,1.9
170.16,0.4254,0.04640658742857143,31,1,0.0,0.0,0.0,0.0,0.0,0.28165799,3.0
170.16,0.3781333333333333,0.04640658742857143,31,1,0.0,0.0,0.0,0.0,0.0,0.234072,0.35000001000000003
172.4,0.3831111111111111,0.046406774,30,1,0.0,0.0,0.0,0.0,0.0,0.22502699,0.45000000500000004
169.24,0.42310000000000003,0.04640452371428571,29,1,0.0,0.0,0.0,0.0,0.0,0.26496199,2.82500005
169.24,0.3760888888888889,0.04883884828571428,92,0,0.0,0.0,0.0,0.0,0.0,0.247113,3.5
169.12,0.3758222222222222,0.05032111228571428,179,1,0.0,0.0,0.0,0.0,0.0,0.26030701,2.35
173.88,0.38639999999999997,0.048684148571428575,32,1,0.0,0.0,0.0,0.0,0.0,0.21691801,0.57499999
173.72,0.38604444444444447,0.04890811357142857,29,1,0.0,0.0,0.0,0.0,0.0,0.22397099,0.55000001
173.0,0.3844444444444444,0.04986361771428571,32,1,0.0,0.0,0.0,0.0,0.0,0.28343499,0.80000001
173.0,0.4325,0.04986361771428571,32,0,0.0,0.0,0.0,0.0,0.0,0.33270699,0.47500001000000003
173.0,0.3844444444444444,0.04986361771428571,32,0,0.0,0.0,0.0,0.0,0.0,0.28491899,2.4499999499999996
173.0,0.3844444444444444,0.049875528,31,1,0.0,0.0,0.0,0.0,0.0,0.29333699,0.80000001
173.0,0.4325,0.049875528,31,0,0.0,0.0,0.0,0.0,0.0,0.33421999,0.47500001000000003
173.0,0.3844444444444444,0.049875528,31,0,0.0,0.0,0.0,0.0,0.0,0.28117099,2.4499999499999996
173.96,0.3865777777777778,0.050027896571428566,30,0,0.0,0.0,0.0,0.0,0.0,0.28554901,2.2250000500000002
173.56,0.3856888888888889,0.050088292857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.27851999,0.775000005
171.56,0.4289,0.05139253,31,0,0.0,0.0,0.0,0.0,0.0,0.27659801,0.32500000500000004
172.4,0.431,0.05362150085714285,183,1,0.0,0.0,0.0,0.0,0.0,0.26399401,5.45000005
172.4,0.3448,0.05362150085714285,183,1,0.0,0.0,0.0,0.0,0.0,0.236204,0.999999995
172.4,0.4925714285714286,0.052938596571428576,92,0,0.0,0.0,0.0,0.0,0.0,0.31052399,0.22500000999999997
167.68,0.37262222222222224,0.05355252952380952,180,1,0.0,0.0,0.0,0.0,0.0,0.250765,2.15
167.68,0.33536,0.05355252952380952,180,1,0.0,0.0,0.0,0.0,0.0,0.242529,0.799999985
167.68,0.4192,0.05355252952380952,180,0,0.0,0.0,0.0,0.0,0.0,0.26423299,1.7999999999999998
165.56,0.33112,0.05353217428571429,178,1,0.0,0.0,0.0,0.0,0.0,0.25746101,0.799999985
165.56,0.4139,0.05353217428571429,178,0,0.0,0.0,0.0,0.0,0.0,0.28353599,2.17499995
166.64,0.3703111111111111,0.05366357571428571,32,1,0.0,0.0,0.0,0.0,0.0,0.24116001,0.25000000499999997
166.64,0.41659999999999997,0.05366357571428571,32,0,0.0,0.0,0.0,0.0,0.0,0.267811,0.57499999
166.76,0.4169,0.05443695,32,0,0.0,0.0,0.0,0.0,0.0,0.32354799,0.80000001
170.4,0.426,0.05449311228571429,31,1,0.0,0.0,0.0,0.0,0.0,0.367309,3.4499999499999996
170.4,0.3786666666666667,0.05449311228571429,31,1,0.0,0.0,0.0,0.0,0.0,0.32185501,0.75
170.4,0.3408,0.05449311228571429,31,1,0.0,0.0,0.0,0.0,0.0,0.314457,0.075000005
170.4,0.3786666666666667,0.05602155761904761,185,0,0.0,0.0,0.0,0.0,0.0,0.27215099,4.1500001
170.4,0.426,0.05449311228571429,31,0,0.0,0.0,0.0,0.0,0.0,0.37431899,0.75
170.4,0.3786666666666667,0.05449311228571429,31,0,0.0,0.0,0.0,0.0,0.0,0.322698,3.0249999499999998
169.48,0.3766222222222222,0.05453478571428571,30,1,0.0,0.0,0.0,0.0,0.0,0.33113399,0.69999999
169.48,0.3766222222222222,0.055674414285714284,184,0,0.0,0.0,0.0,0.0,0.0,0.27900201,4.3499999
169.48,0.42369999999999997,0.05453478571428571,30,0,0.0,0.0,0.0,0.0,0.0,0.37827799,0.80000001
167.48,0.41869999999999996,0.05439698800000001,29,1,0.0,0.0,0.0,0.0,0.0,0.37836099,2.92499995
167.48,0.41869999999999996,0.05574568476190476,183,0,0.0,0.0,0.0,0.0,0.0,0.29382399,2.15
170.4,0.3786666666666667,0.055814505714285714,180,1,0.0,0.0,0.0,0.0,0.0,0.27993801,2.825
170.4,0.426,0.055814505714285714,180,0,0.0,0.0,0.0,0.0,0.0,0.29562399,1.9
162.36,0.3608,0.055653642380952384,178,1,0.0,0.0,0.0,0.0,0.0,0.26585501,1.775
161.72,0.3593777777777778,0.05541989314285714,187,1,0.0,0.0,0.0,0.0,0.0,0.262355,1.75
161.72,0.46205714285714283,0.05541989314285714,187,0,0.0,0.0,0.0,0.0,0.0,0.29935899,0.97499999
173.44,0.3854222222222222,0.053863894117647054,30,1,0.0,0.0,0.0,0.0,0.0,0.246005,0.650000005
173.44,0.3854222222222222,0.05464362342857143,93,1,0.0,0.0,0.0,0.0,0.0,0.26680499,1.875
173.44,0.3854222222222222,0.053863894117647054,30,0,0.0,0.0,0.0,0.0,0.0,0.24602801,2.125
173.44,0.3854222222222222,0.05464362342857143,93,0,0.0,0.0,0.0,0.0,0.0,0.26822001,3.0
171.48,0.38106666666666666,0.05386814588235293,29,1,0.0,0.0,0.0,0.0,0.0,0.24819501,0.47500001000000003
171.48,0.38106666666666666,0.05461852228571428,92,1,0.0,0.0,0.0,0.0,0.0,0.27642801,1.675
171.48,0.42869999999999997,0.05461852228571428,92,0,0.0,0.0,0.0,0.0,0.0,0.29590899,1.15
170.64,0.3792,0.05462384885714286,89,1,0.0,0.0,0.0,0.0,0.0,0.278667,1.575
176.08,0.3912888888888889,0.053954691428571434,32,1,0.0,0.0,0.0,0.0,0.0,0.249935,0.94999999
179.6,0.3991111111111111,0.05395297607142857,31,1,0.0,0.0,0.0,0.0,0.0,0.25348201,1.375
176.84,0.39297777777777776,0.05393981321428571,30,1,0.0,0.0,0.0,0.0,0.0,0.24528199,0.97499999
176.84,0.39297777777777776,0.05393981321428571,30,0,0.0,0.0,0.0,0.0,0.0,0.242678,1.575
175.96,0.3910222222222222,0.05391241321428571,29,1,0.0,0.0,0.0,0.0,0.0,0.24084701,0.82499999
184.48,0.4099555555555555,0.05383930828571429,31,0,0.0,0.0,0.0,0.0,0.0,0.29627299,1.024999995
184.4,0.461,0.054290701428571425,93,0,0.0,0.0,0.0,0.0,0.0,0.30664399,0.55000001
184.4,0.4097777777777778,0.05383790085714286,30,0,0.0,0.0,0.0,0.0,0.0,0.29929399,0.9999999900000001
185.76,0.37151999999999996,0.05428116171428572,92,1,0.0,0.0,0.0,0.0,0.0,0.24994899,1.225
185.76,0.4128,0.05383651142857143,29,1,0.0,0.0,0.0,0.0,0.0,0.317972,2.57500005
185.76,0.4128,0.05383651142857143,29,0,0.0,0.0,0.0,0.0,0.0,0.31795001,0.94999999
186.4,0.3728,0.05437678142857142,89,1,0.0,0.0,0.0,0.0,0.0,0.257227,1.2999999999999998
204.16,0.40832,0.053633282,186,0,0.0,0.0,0.0,0.0,0.0,0.244023,2.5
203.8,0.4076,0.053944494571428574,185,0,0.0,0.0,0.0,0.0,0.0,0.244166,2.5500000500000004
203.52,0.40704,0.05414433285714286,93,1,0.0,0.0,0.0,0.0,0.0,0.25042799,3.35
203.52,0.37003636363636366,0.05414433285714286,93,1,0.0,0.0,0.0,0.0,0.0,0.230685,1.1
203.44,0.40688,0.05364159742857143,183,1,0.0,0.0,0.0,0.0,0.0,0.244822,4.5999999
203.44,0.40688,0.05381539375,29,1,0.0,0.0,0.0,0.0,0.0,0.222845,1.85
202.96,0.36901818181818186,0.05400302485714285,89,1,0.0,0.0,0.0,0.0,0.0,0.231218,1.024999995
204.28,0.3714181818181818,0.053570028,178,1,0.0,0.0,0.0,0.0,0.0,0.22736301,2.175
221.28,0.40232727272727276,0.05381551,31,1,0.0,0.0,0.0,0.0,0.0,0.27754301,2.07500005
221.28,0.49173333333333336,0.05381551,31,0,0.0,0.0,0.0,0.0,0.0,0.368586,0.05
221.28,0.40232727272727276,0.05381551,31,0,0.0,0.0,0.0,0.0,0.0,0.27819899,1.525
219.8,0.36633333333333334,0.05317376439560439,366,0,0.0,0.0,0.0,0.0,0.0,0.232685,6.8499999
219.8,0.36633333333333334,0.053813451176470586,30,1,0.0,0.0,0.0,0.0,0.0,0.28011301,0.35000001000000003
219.8,0.43960000000000005,0.053813451176470586,30,0,0.0,0.0,0.0,0.0,0.0,0.334425,0.39999998999999997
219.8,0.3996363636363637,0.053813451176470586,30,0,0.0,0.0,0.0,0.0,0.0,0.29735699,1.8
219.8,0.36633333333333334,0.053813451176470586,30,0,0.0,0.0,0.0,0.0,0.0,0.282029,5.25
219.84,0.3664,0.05381321705882353,29,1,0.0,0.0,0.0,0.0,0.0,0.27061,0.29999999499999996
219.84,0.3997090909090909,0.05381321705882353,29,0,0.0,0.0,0.0,0.0,0.0,0.29511899,1.75
226.68,0.41214545454545454,0.05408834,32,0,0.0,0.0,0.0,0.0,0.0,0.22593901,0.724999995
229.8,0.5106666666666667,0.05408104285714286,31,0,0.0,0.0,0.0,0.0,0.0,0.381668,0.0250000005
229.8,0.41781818181818187,0.05408104285714286,31,0,0.0,0.0,0.0,0.0,0.0,0.22926299,0.525000005
232.16,0.38693333333333335,0.05383571,30,1,0.0,0.0,0.0,0.0,0.0,0.199083,0.650000005
232.16,0.38693333333333335,0.05405679342857143,93,1,0.0,0.0,0.0,0.0,0.0,0.225913,2.125
232.16,0.5159111111111111,0.05383571,30,0,0.0,0.0,0.0,0.0,0.0,0.400895,0.0250000005
232.16,0.4221090909090909,0.05383571,30,0,0.0,0.0,0.0,0.0,0.0,0.219859,0.35000001000000003
232.0,0.4218181818181818,0.053831514,29,1,0.0,0.0,0.0,0.0,0.0,0.227256,3.6
232.0,0.4218181818181818,0.05405752457142857,92,1,0.0,0.0,0.0,0.0,0.0,0.24450099,5.0
232.0,0.4218181818181818,0.053831514,29,0,0.0,0.0,0.0,0.0,0.0,0.222826,0.35000001000000003
232.0,0.58,0.05405752457142857,92,0,0.0,0.0,0.0,0.0,0.0,0.38062799,0.0750000005
224.6,0.37433333333333335,0.05403700000000001,177,1,0.0,0.0,0.0,0.0,0.0,0.22682101,2.5500000500000004
224.6,0.3455384615384615,0.05403700000000001,177,1,0.0,0.0,0.0,0.0,0.0,0.21467599,1.0499999949999999
224.6,0.4492,0.05403700000000001,177,0,0.0,0.0,0.0,0.0,0.0,0.252105,1.125
224.6,0.37433333333333335,0.05403700000000001,177,0,0.0,0.0,0.0,0.0,0.0,0.227428,5.20000005
228.84,0.45768000000000003,0.05383049964285714,32,1,0.0,0.0,0.0,0.0,0.0,0.28510201,7.45000005
228.84,0.3814,0.05383049964285714,32,1,0.0,0.0,0.0,0.0,0.0,0.199553,0.45000000500000004
230.6,0.41927272727272724,0.053830322142857136,31,1,0.0,0.0,0.0,0.0,0.0,0.209842,3.25
