S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
168.7722912,0.6027581828571429,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.341149,3.125
168.7722912,0.5819734179310345,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.33369201,2.5999999
168.7722912,0.5625743040000001,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.32611799,2.13
168.7722912,0.5444267458064517,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.319713,1.725
168.7722912,0.5274134100000001,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.31410399,1.38
168.7722912,0.42193072800000003,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.29232901,0.170000005
168.7722912,0.6750891648,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.37207001,5.07500005
168.7722912,0.649124196923077,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.36150399,4.375
168.7722912,0.6250825600000001,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.3506,2.005
168.7722912,0.6027581828571429,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.341732,2.4150001000000003
168.7722912,0.7032178800000001,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.38495001,1.115
168.7722912,0.6750891648,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.37211201,1.36
168.7722912,0.649124196923077,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.360699,1.6549999999999998
168.7722912,0.750099072,0.0032835943956043955,187,1,0.0,0.0,0.0,0.0,0.0,0.40812901,7.04999995
168.7722912,1.1251486080000002,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.55252498,0.170000005
168.7722912,0.8438614560000001,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.444047,0.48000000499999995
168.7722912,0.750099072,0.0032835943956043955,187,0,0.0,0.0,0.0,0.0,0.0,0.40460199,0.814999995
164.55298391999997,0.6094554959999999,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.35471299,3.29999995
164.55298391999997,0.5876892282857142,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.34439799,2.74
164.55298391999997,0.5674240824827586,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.33664399,2.255
164.55298391999997,0.5485099464,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.329418,1.82999995
164.55298391999997,0.5142280747499999,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.31738999,1.15999995
164.55298391999997,0.49864540581818173,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.31292301,0.9099999999999999
164.55298391999997,0.47015138262857137,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.30604401,0.544999985
164.55298391999997,0.6582119356799999,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.37188101,4.54999995
164.55298391999997,0.6094554959999999,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.352189,2.275
164.55298391999997,0.5876892282857142,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.34322101,2.725
164.55298391999997,0.5674240824827586,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.336806,3.25
164.55298391999997,0.5485099464,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.32966301,3.8249999499999996
164.55298391999997,0.5308160771612902,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.32187101,4.45000005
164.55298391999997,0.47015138262857137,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.304106,7.5250001
164.55298391999997,0.6856374329999999,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.38567001,1.275
164.55298391999997,0.6582119356799999,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.37341601,1.5550000499999999
164.55298391999997,0.6328960919999999,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.362066,1.885
164.55298391999997,0.8227649195999999,0.0032392715384615385,186,1,0.0,0.0,0.0,0.0,0.0,0.441625,8.5500002
164.55298391999997,0.8227649195999999,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.44554499,0.555000005
164.55298391999997,0.7313465951999999,0.0032392715384615385,186,0,0.0,0.0,0.0,0.0,0.0,0.405274,0.935000005
167.48305842,0.6203076237777777,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.34853899,3.54999995
167.48305842,0.5981537800714285,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.33949399,2.97
167.48305842,0.5775277876551724,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.33103499,2.45000005
167.48305842,0.5582768614,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.323679,1.9949999999999999
167.48305842,0.5402679303870968,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.31739599,1.605
167.48305842,0.5233845575625,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.311903,1.275
167.48305842,0.4785230240571428,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.299099,0.594999995
167.48305842,0.6441656093076923,0.0033166949450549456,185,1,0.0,0.0,0.0,0.0,0.0,0.35999,4.20000005
167.48305842,0.6203076237777777,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.34874099,2.05499995
167.48305842,0.5981537800714285,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.339692,2.475
167.48305842,0.5233845575625,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.311802,4.7750001
167.48305842,0.41870764605,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.29372099,11.649999999999999
167.48305842,0.69784607675,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.38326499,1.14
167.48305842,0.8374152921,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.44459999,0.49500000499999997
167.48305842,0.9570460481142856,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.49268499,0.290000005
167.48305842,0.7443691485333332,0.0033166949450549456,185,0,0.0,0.0,0.0,0.0,0.0,0.40463501,0.84
169.88571950999997,1.1325714634,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.69420803,0.085
169.88571950999997,0.8494285975499999,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.49875399,0.190000005
169.88571950999997,0.7386335630869564,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.41423899,0.37000000499999997
169.88571950999997,0.9707755400571427,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.58060998,0.115
169.88571950999997,0.7722078159545454,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.43924201,0.290000005
169.88571950999997,0.6292063685555555,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.348234,3.0749999499999996
169.88571950999997,0.6067347125357142,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.33392701,2.4150001000000003
169.88571950999997,0.5858128258965516,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.32224399,1.8450000000000002
169.88571950999997,0.5662857317,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.31198901,1.365
169.88571950999997,0.548018450032258,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.304638,0.985000015
169.88571950999997,0.5308928734687499,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.29649299,0.68000001
169.88571950999997,0.5148052106363635,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.29118001,0.459999995
169.88571950999997,0.4996638809117646,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.28612301,0.29999999499999996
169.88571950999997,0.48538777002857136,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.28382,0.195
169.88571950999997,0.6795428780399999,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.38118601,4.60000015
169.88571950999997,0.6534066134999998,0.0026662894285714284,93,1,0.0,0.0,0.0,0.0,0.0,0.362423,3.79999995
169.88571950999997,0.6292063685555555,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.34446299,3.775
169.88571950999997,0.5858128258965516,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.324404,2.6049999
169.88571950999997,0.5662857317,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.317047,2.125
169.88571950999997,0.548018450032258,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.30990699,1.70500005
169.88571950999997,0.5308928734687499,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.30314401,1.3450000000000002
169.88571950999997,0.5148052106363635,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.297867,1.0499999500000001
169.88571950999997,0.48538777002857136,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.28915301,0.6150000099999999
169.88571950999997,0.6534066134999998,0.0031930445054945055,184,1,0.0,0.0,0.0,0.0,0.0,0.352494,4.42499995
169.88571950999997,0.6292063685555555,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.34538001,1.125
169.88571950999997,0.6067347125357142,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.33314499,1.475
169.88571950999997,0.5858128258965516,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.32157701,1.9049999999999998
169.88571950999997,0.5662857317,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.31314701,2.43500005
169.88571950999997,0.548018450032258,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.305049,3.04999995
169.88571950999997,0.5148052106363635,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.29199201,4.5250001
169.88571950999997,0.4996638809117646,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.28282201,5.35000015
169.88571950999997,0.48538777002857136,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.28171501,6.25
169.88571950999997,0.7078571646249999,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.394977,0.489999995
169.88571950999997,0.6795428780399999,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.376176,0.6450000149999999
169.88571950999997,0.6534066134999998,0.0026662894285714284,93,0,0.0,0.0,0.0,0.0,0.0,0.36026201,0.8549999850000001
169.88571950999997,0.6292063685555555,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.34303999,1.86
169.88571950999997,0.6067347125357142,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.33337501,2.25
169.88571950999997,0.5858128258965516,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.32439601,2.70000005
169.88571950999997,0.5308928734687499,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.30465901,4.45000005
169.88571950999997,0.6795428780399999,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.36553901,1.25
169.88571950999997,0.6534066134999998,0.0031930445054945055,184,0,0.0,0.0,0.0,0.0,0.0,0.35323501,1.525
164.55298391999997,0.6094554959999999,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.337906,2.4300001
164.55298391999997,0.5876892282857142,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.32579201,1.85
164.55298391999997,0.5674240824827586,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.315718,1.365
164.55298391999997,0.5485099464,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.30730501,0.974999995
164.55298391999997,0.5308160771612902,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.300558,0.675000015
164.55298391999997,0.5142280747499999,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.29427701,0.45000000500000004
164.55298391999997,0.6856374329999999,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.38759601,4.64999985
164.55298391999997,0.6582119356799999,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.36466101,3.8249999499999996
164.55298391999997,0.6328960919999999,0.002651853142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.352552,3.1000000500000002
164.55298391999997,0.6094554959999999,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.34005001,3.1750000500000004
164.55298391999997,0.5876892282857142,0.0031622477142857143,183,1,0.0,0.0,0.0,0.0,0.0,0.329577,2.6100000000000003
