S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
191.59248462,0.15966040385,0.01733742777777778,186,1,0.0,0.0,0.0,0.0,0.0,0.15457299,4.1500001
191.59248462,0.16660216053913043,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.17564701,9.5
191.59248462,0.153273987696,0.016871812197802198,368,1,0.0,0.0,0.0,0.0,0.0,0.165658,4.8499999
192.26011099,0.16021675915833333,0.017331445714285715,185,1,0.0,0.0,0.0,0.0,0.0,0.151618,4.20000005
192.26011099,0.153808088792,0.017331445714285715,185,1,0.0,0.0,0.0,0.0,0.0,0.147861,2.35
192.26011099,0.17478191908181817,0.017331445714285715,185,0,0.0,0.0,0.0,0.0,0.0,0.17010801,2.4
192.26011099,0.16718270520869563,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.175006,9.6999998
192.26011099,0.16021675915833333,0.016851285494505496,367,1,0.0,0.0,0.0,0.0,0.0,0.168017,7.0
192.26011099,0.21362234554444443,0.016851285494505496,367,0,0.0,0.0,0.0,0.0,0.0,0.223226,1.25
192.50436454,0.1750039677636364,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.186969,9.6499996
192.50436454,0.1673950996,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.16653299,5.75
192.50436454,0.16042030378333336,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.155083,2.9
192.50436454,0.154003491632,0.01747593142857143,93,1,0.0,0.0,0.0,0.0,0.0,0.146782,1.175
192.50436454,0.1673950996,0.01747593142857143,93,0,0.0,0.0,0.0,0.0,0.0,0.163615,2.4499999499999996
192.50436454,0.1673950996,0.01733608253968254,184,1,0.0,0.0,0.0,0.0,0.0,0.162589,7.1500001
192.50436454,0.16042030378333336,0.016857384615384614,366,1,0.0,0.0,0.0,0.0,0.0,0.175274,7.4000001
192.50436454,0.1673950996,0.016857384615384614,366,0,0.0,0.0,0.0,0.0,0.0,0.17235699,6.5
194.57237793,0.16919337211304347,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.162302,6.5
194.57237793,0.162143648275,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.149812,3.35
194.57237793,0.15565790234399998,0.017448359142857143,92,1,0.0,0.0,0.0,0.0,0.0,0.141093,1.375
194.57237793,0.18530702659999998,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.194801,0.47500001000000003
194.57237793,0.16919337211304347,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.15833201,1.9
194.57237793,0.162143648275,0.017448359142857143,92,0,0.0,0.0,0.0,0.0,0.0,0.144604,3.75
194.57237793,0.162143648275,0.017330392063492062,183,1,0.0,0.0,0.0,0.0,0.0,0.156378,5.04999995
194.57237793,0.15565790234399998,0.017330392063492062,183,1,0.0,0.0,0.0,0.0,0.0,0.14887001,2.85
194.57237793,0.14967105994615384,0.017330392063492062,183,1,0.0,0.0,0.0,0.0,0.0,0.14579201,1.5
194.57237793,0.162143648275,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.175376,8.04999995
194.57237793,0.15565790234399998,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.167521,5.6500001
194.57237793,0.14967105994615384,0.016848126043956045,365,1,0.0,0.0,0.0,0.0,0.0,0.162632,3.8500000500000002
194.57237793,0.18530702659999998,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.190712,3.15
194.57237793,0.17688397993636362,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.181918,4.4000001
194.57237793,0.16919337211304347,0.016848126043956045,365,0,0.0,0.0,0.0,0.0,0.0,0.17037,5.89999985
194.83291505000003,0.1771208318636364,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.18080799,10.7
194.83291505000003,0.1694199261304348,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.160216,6.54999995
194.83291505000003,0.16236076254166668,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.14738099,3.35
194.83291505000003,0.15586633204000003,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.138467,1.35
194.83291505000003,0.14987147311538462,0.017423758857142858,91,1,0.0,0.0,0.0,0.0,0.0,0.133573,0.42500000000000004
194.83291505000003,0.18555515719047622,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.19995099,0.5
194.83291505000003,0.1694199261304348,0.017423758857142858,91,0,0.0,0.0,0.0,0.0,0.0,0.15659299,1.8
