S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,sigma,V
9666.3772985,3.9861349684536083,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.35284799,58.3249985
9666.3772985,3.8665509194,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.365704,51.1000005
9666.3772985,3.790736195490196,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.349383,46.224998
9666.3772985,3.7178374224999997,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.354146,41.6000005
9666.3772985,3.6476895466037735,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.34655401,36.9750005
9666.3772985,3.613598990093458,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.34056601,34.674999
9666.3772985,3.580139740185185,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.33885899,32.4750005
9666.3772985,3.54729442146789,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.33859,30.3499995
9666.3772985,3.515046290363636,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.335538,28.2249995
9666.3772985,3.4833792066666667,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.33124399,26.125
9666.3772985,3.452277606607143,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.32162601,23.9499995
9666.3772985,3.421726477345133,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.32408199,22.125
9666.3772985,3.3917113328070174,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.32243401,20.2750005
9666.3772985,3.3622181907826088,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.32071301,18.5
9666.3772985,3.3332335512068965,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.31713799,16.75
9666.3772985,3.3047443755555554,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.31578901,15.15
9666.3772985,3.2767380672881354,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.31474,13.65
9666.3772985,3.2492024532773107,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.31319499,12.225
9666.3772985,3.2221257661666667,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.311097,10.875
9666.3772985,3.1954966276033057,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.31070501,9.6750002
9666.3772985,3.1693040322950816,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.31049299,8.5749998
9666.3772985,3.1435373328455283,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.30751899,7.4749999
9666.3772985,3.1181862253225807,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.305509,6.5
9666.3772985,3.09324073552,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.305446,5.67499995
9666.3772985,3.068691205873016,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.30430901,4.9000001
9666.3772985,3.044528282992126,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.302955,4.20000005
9666.3772985,3.02074290578125,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.30338299,3.625
9666.3772985,2.997326294108527,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.30214801,3.07500005
9666.3772985,2.974269938,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.303449,2.6499999499999998
9666.3772985,2.9515655873282443,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.30414701,2.2649999999999997
9666.3772985,2.929205241969697,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.30362299,1.905
9666.3772985,2.8854857607462687,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.305866,1.37999995
9666.3772985,2.843052146617647,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.3089,0.99999995
9666.3772985,2.8018484923188405,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.31286299,0.7300000200000001
9666.3772985,2.761822085285714,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.31780401,0.53999999
9666.3772985,2.7229231826760563,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.324186,0.409999995
9666.3772985,2.685104805138889,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.33433801,0.33499999
9666.3772985,2.612534405,0.017158818857142856,29,1,0.0,0.0,0.0,0.0,0.0,0.34697899,0.2
9666.3772985,5.087566999210526,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.59931099,0.04
9666.3772985,4.4959894411627905,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.48872501,0.08500000499999999
9666.3772985,4.393807862954545,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.496907,0.16
9666.3772985,4.2489570542857145,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.48893699,0.285000005
9666.3772985,4.20277273847826,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.457133,0.230000005
9666.3772985,4.070053599368421,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.43004599,0.31500001
9666.3772985,4.027657207708333,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.42098799,0.35000001000000003
9666.3772985,3.9454601218367347,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.40404001,0.44
9666.3772985,3.8665509194,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.389236,0.56999999
9666.3772985,3.828268237029703,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.379536,0.629999995
9666.3772985,3.790736195490196,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.37351799,0.7300000200000001
9666.3772985,3.7539329314563106,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.36845699,0.85499999
9666.3772985,3.7178374224999997,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.362093,0.9849999899999999
9666.3772985,3.682429447047619,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.35582799,1.13500005
9666.3772985,3.6476895466037735,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.34977001,1.31
9666.3772985,3.613598990093458,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.34401301,1.51500005
9666.3772985,3.580139740185185,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.34095201,1.795
9666.3772985,3.54729442146789,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.33636701,2.09000005
9666.3772985,3.515046290363636,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.33315501,2.45499995
9666.3772985,3.4833792066666667,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.32894099,2.8500000500000002
9666.3772985,3.452277606607143,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.32689399,3.35
9666.3772985,3.421726477345133,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.32325199,3.875
9666.3772985,3.3917113328070174,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.32172501,4.5250001
9666.3772985,3.3622181907826088,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.31924501,5.2249999
9666.3772985,3.3332335512068965,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.31660599,6.0
9666.3772985,3.3047443755555554,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.31453201,6.875
9666.3772985,3.2767380672881354,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.31354201,7.875
9666.3772985,3.2492024532773107,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.31203401,8.9500003
9666.3772985,3.2221257661666667,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.309946,10.1
9666.3772985,3.1954966276033057,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.307329,11.325
9666.3772985,3.1693040322950816,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.30705801,12.725
9666.3772985,3.1181862253225807,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.30413699,15.725000000000001
9666.3772985,3.09324073552,0.017158818857142856,29,0,0.0,0.0,0.0,0.0,0.0,0.30394599,17.3999995
