S0,m,r,T,corp,omega,alpha,beta,theta,lambda,sigma,V
107.711420292367,0.96680880188103,0.05,0.748292044097942,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,3.57507109059964
107.711420292367,0.96680880188103,0.05,0.748292044097942,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,0.974397960856802,0.05,0.123333608645102,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,2.75763199849467
107.711420292367,0.974397960856802,0.05,0.123333608645102,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.02031916102983,0.05,0.737333040356294,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.02031916102983,0.05,0.737333040356294,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,2.18860569367232
107.711420292367,1.18681193560547,0.05,0.59250902425815,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.18681193560547,0.05,0.59250902425815,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,20.1217789116314
107.711420292367,0.888797268435896,0.05,0.883659075559639,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,11.9778041571605
107.711420292367,0.888797268435896,0.05,0.883659075559639,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.1571440605744,0.05,0.39878182477106,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.1571440605744,0.05,0.39878182477106,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,16.9262099549784
107.711420292367,0.830523315749583,0.05,0.801926913016103,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,18.2545743670534
107.711420292367,0.830523315749583,0.05,0.801926913016103,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.14937176111673,0.05,0.971686596538839,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.14937176111673,0.05,0.971686596538839,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,16.0890445414547
107.711420292367,0.80414966155428,0.05,0.551687132933865,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,21.0953181187292
107.711420292367,0.80414966155428,0.05,0.551687132933865,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.1085282573067,0.05,0.118676754423461,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.711420292367,1.1085282573067,0.05,0.118676754423461,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,11.6897327363599
107.883894716131,0.872107875550708,0.05,0.117527717338862,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,13.7975004891098
107.883894716131,0.872107875550708,0.05,0.117527717338862,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,0.861665136951869,0.05,0.766044726863864,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,14.924103800655
107.883894716131,0.861665136951869,0.05,0.766044726863864,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,1.11108096422953,0.05,0.313787098031421,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,1.11108096422953,0.05,0.313787098031421,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,11.9838470499048
107.883894716131,1.00557733750908,0.05,0.795848546871367,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,1.00557733750908,0.05,0.795848546871367,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0.601704892625506
107.883894716131,1.13952707890743,0.05,0.261006332428899,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,1.13952707890743,0.05,0.261006332428899,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,15.0527246908987
107.883894716131,0.889316431661416,0.05,0.570847007260609,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,11.9409744334456
107.883894716131,0.889316431661416,0.05,0.570847007260609,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,0.917866001074844,0.05,0.577528080044765,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,8.86093569265638
107.883894716131,0.917866001074844,0.05,0.577528080044765,-1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
107.883894716131,1.06014969669584,0.05,0.554908036361359,1,3.06615069476253e-06,1.5e-06,0.5,0.25,0.3,0.0001,0
